mass_reduction_dex,n_z8,rho_mass_dust_z8,p_mass_dust_z8,rho_gamma_dust_z8,p_gamma_dust_z8,rho_gamma_age_z4,p_gamma_age_z4,ks_chi2_separation,p_ks_chi2,mean_chi2_enhanced,mean_chi2_suppressed,dust_diff_high_low_gamma,age_diff_high_low_gamma,met_diff_high_low_gamma,n_enhanced,n_suppressed
0.0,283,0.5594522703471411,1.046457458256734e-24,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05,124.35365739194391,42.042493889257855,-0.18381264844638073,0.009468443223305034,-0.06932521801137836,17,2298
0.3,283,0.5594522703471411,1.046457458256734e-24,0.5156919261603755,1.2476964375442785e-20,-0.005785053391357015,0.7808614136465948,,,,,-0.20242773319208862,0.007905102558283694,-0.060552171943035304,0,0
0.5,283,0.5594522703471411,1.046457458256734e-24,0.44652101769325825,2.836193800950725e-15,-0.016561445121246385,0.4257594731374773,,,,,-0.20695246696468333,0.006117722406145665,-0.059529013482593984,0,0
0.7,283,0.5594522703471411,1.046457458256734e-24,0.38244662320211015,2.734977044658195e-11,-0.028141300583316136,0.17588321943052698,,,,,-0.21398791059785616,0.004959105230459254,-0.06660463631078417,0,0
1.0,283,0.5594522703471411,1.046457458256734e-24,0.3103208378910407,9.851300448422265e-08,-0.037996090527132154,0.06757454076141206,,,,,-0.2516699970121874,0.0019005292923474082,-0.06483732308767642,0,0
