id,field,z,Muv,log_Mstar,mass_source,log_Mh,Re_pc,concentration,t_cosmic_Gyr,gamma_halo,gamma_cen,delta_gamma,boost_factor,log_boost
1072,b'primer-uds-north',8.905960083007812,-18.94834143055418,8.479336572221671,MUV_proxy,10.369932580522452,78.83757820174078,5.0,0.5517945402295986,0.5576678336519438,0.686872068350237,0.12920423469829312,4.8759519725256615,0.6880594192248904
1381,b'primer-uds-north',5.662596702575684,-17.520657149917344,7.908262859966937,MUV_proxy,9.474522530224506,120.01283584270938,4.166221025351884,1.0006942194847377,0.5999818587066834,0.6208685809484966,0.020886722241813205,1.5911731982747233,0.2017174549206631
1470,b'primer-uds-north',5.396758556365967,-18.446785800480413,8.278714320192165,MUV_proxy,9.818390175828762,146.5718278440177,3.4112967502329434,1.0636520587028406,0.6106707499264877,0.6376875803584584,0.027016830431970673,1.89380692892457,0.2773357011843024
1544,b'primer-uds-north',5.463461875915527,-18.84488729177078,8.437954916708312,MUV_proxy,9.984301104299865,120.55093383660046,4.147624444599657,1.0472482202653117,0.612303216364746,0.6588576816107659,0.046554465246019805,2.954779472355883,0.4705250731993843
1939,b'primer-uds-north',4.362056732177734,-17.77694359574886,8.010777438299543,MUV_proxy,9.446983111517318,99.5346059965892,5.0,1.385114858989589,0.6321090280422454,0.6560517401794603,0.023942712137214883,2.089583127303527,0.3200596528240393
3992,b'primer-uds-north',5.659328460693359,-18.533085406094962,8.313234162437984,MUV_proxy,9.87916700850732,79.56723036871635,5.0,1.0014303691027748,0.6056660547256767,0.6563969312498344,0.05073087652415775,3.092455211625657,0.4903034184112026
7991,b'primer-uds-north',5.655741214752197,-18.470757189852172,8.288302875940868,MUV_proxy,9.853876997416087,127.5731514212076,3.919319969992374,1.0022394084144053,0.605284342246604,0.6404384591458004,0.03515411689919645,2.187921550384091,0.34003174597670544
8559,b'primer-uds-north',7.936542510986328,-19.49598986646377,8.698395946585507,MUV_proxy,10.49205019768414,85.23854166436611,5.0,0.6441149429748033,0.580144035635448,0.7365743026563848,0.15643026702093676,9.384791941025881,0.9724246488416505
10404,b'primer-uds-north',5.655996322631836,-18.131496324799453,8.15259852991978,MUV_proxy,9.718198162182963,83.28728747516016,5.0,1.0021818375272287,0.6030817331904333,0.6421767053125377,0.03909497212210433,2.3885170420747364,0.37812834432258136
11219,b'primer-uds-north',5.428709506988525,-19.19512162645615,8.57804865058246,MUV_proxy,10.120919601281312,69.45012848458238,5.0,1.0557417540609975,0.6164428569992396,0.6912552429783705,0.07481238597913087,5.784419391264745,0.7622597733440468
14419,b'primer-uds-north',4.816784381866455,-17.843655823805097,8.037462329522038,MUV_proxy,9.519140767708683,101.36880732697259,4.932483800339221,1.2263320891650409,0.62088251300682,0.6478566797398004,0.026974166732980476,2.0856806438075934,0.3192478106821057
15257,b'primer-uds-north',6.920136451721191,-18.846641969673545,8.438656787869418,MUV_proxy,10.130670433041537,96.35690251750647,5.0,0.7721182672529134,0.5847889612263663,0.6653453439469372,0.08055638272057097,3.983660874651594,0.6002823602395565
16999,b'primer-uds-north',4.2059326171875,-18.413364601496873,8.265345840598748,MUV_proxy,9.685939102317498,123.57814740257558,4.04602278403778,1.4476548545040027,0.6389634048348121,0.6652110937391794,0.02624768890436735,2.32656046953509,0.36671434474555015
18804,b'primer-uds-north',4.317291259765625,-19.21290064350012,8.585160257400048,MUV_proxy,10.016889383376611,104.11764122760248,4.802260155961406,1.4025820094804908,0.6415739229387628,0.6980788981965493,0.05650497525778653,5.819269307916905,0.7648684562200222
18892,b'primer-uds-north',4.729468822479248,-17.341007529473167,7.836403011789266,MUV_proxy,9.30934989403719,90.50174813927704,5.0,1.2544045507934292,0.6212772814806345,0.640909890977678,0.019632609497043485,1.7285309434984097,0.2376771585213664
19416,b'primer-uds-north',5.4331817626953125,-18.32210220195416,8.228840880781663,MUV_proxy,9.772159057051194,167.72615035565858,2.9810497584292257,1.0546423242566259,0.6090634016660346,0.629638731170748,0.020575329504713413,1.6196557547280739,0.20942271842606777
21108,b'primer-uds-north',7.136404514312744,-18.093206991564905,8.13728279662596,MUV_proxy,9.850923248057235,81.31058340571161,5.0,0.7415224260613464,0.5739594807615763,0.6249661914252025,0.051006710663626165,2.3175316215297226,0.36502566858230695
22773,b'primer-uds-north',4.40127420425415,-18.878715129649372,8.451486051859748,MUV_proxy,9.891613472285163,101.92125161603352,4.905748232798817,1.370106926962029,0.6368403009799816,0.6844516984885134,0.04761139750853183,4.261476423048703,0.6295600900171074
23575,b'primer-uds-north',5.660595417022705,-18.19893992381785,8.17957596952714,MUV_proxy,9.745635511229409,95.52958794710351,5.0,1.0011448889247379,0.6033839771984654,0.6442514730759564,0.040867495877491056,2.4823515707273924,0.39486328981949415
24081,b'primer-uds-north',5.656405448913574,-18.423810857378186,8.269524342951273,MUV_proxy,9.83516488784263,77.0447797884074,5.0,1.002089520358517,0.6049378233274976,0.6521615800909649,0.04722375676346735,2.862254482137534,0.4567082441249354
24100,b'primer-uds-north',4.991886138916016,-19.112623988561445,8.545049595424578,MUV_proxy,10.044238209316179,86.23758336823218,5.0,1.173080244066571,0.6249185022529871,0.6894711444320725,0.0645526421790854,5.3805323360603685,0.7308252457735371
29106,b'primer-uds-north',5.204842567443848,-18.95426883204738,8.481707532818952,MUV_proxy,10.002191789563337,114.10112156484168,4.382077872178134,1.1133100013047457,0.6187965509116037,0.6698618695592702,0.0510653186476665,3.5373127640300135,0.5486734611964806
29110,b'primer-uds-north',7.128774642944336,-17.756852640149642,8.002741056059856,MUV_proxy,9.715618520354289,100.54216119836273,4.973038116950108,0.7425673513987764,0.5718227794788,0.612471041616095,0.040648262137295,1.9557175579845854,0.2913061347738032
31581,b'primer-uds-north',4.163408279418945,-17.628899792659244,7.951559917063697,MUV_proxy,9.367900745005592,84.0964646424577,5.0,1.4655041613859814,0.6368894267248509,0.6578047048389838,0.02091527811413285,1.9761348179960025,0.29581657016781626
31645,b'primer-uds-north',4.755919456481934,-18.512115975297128,8.30484639011885,MUV_proxy,9.780438335767045,113.68773652076455,4.398011740770978,1.2457887950258162,0.6257498395038971,0.6608616222405883,0.035111782736691244,2.6433352067355087,0.4221522403941351
32025,b'primer-uds-north',4.043330669403076,-16.99379146804004,7.697516587216016,MUV_proxy,9.101849654156322,84.81280966663823,5.0,1.517927069415876,0.6385475148236696,0.6522468055335136,0.013699290709843992,1.587404889372765,0.20068771364401622
32237,b'primer-uds-north',4.612168312072754,-19.028361620570273,8.511344648228109,MUV_proxy,9.972561479435385,75.56104237564186,5.0,1.2938323683474038,0.6328817451095485,0.6891844090261645,0.05630266391661598,5.047053685604459,0.7030379243567829
32986,b'primer-uds-north',4.15274715423584,-17.762346484528152,8.00493859381126,MUV_proxy,9.420213309234844,88.70998326951835,5.0,1.4700363609048426,0.6376163734243098,0.6603133163763758,0.022696942952066035,2.0989806232030137,0.3220084293995273
33332,b'primer-uds-north',4.541976451873779,-19.0749774885047,8.52999099540188,MUV_proxy,9.984188640589258,151.4941816207269,3.3004567875205564,1.3184200816751326,0.6349426613849052,0.6672192068306418,0.03227654544573666,2.5744745617816145,0.4106886049484721
33774,b'primer-uds-north',7.137637138366699,-18.953017296665106,8.481206918666041,MUV_proxy,10.194970632502711,130.27219633898406,3.838117526620487,0.7413538451794723,0.5824986981083421,0.6453372589409543,0.06283856083261219,2.815769971950692,0.4495971731998556
35111,b'primer-uds-north',5.656314373016357,-19.199213482768474,8.57968539310739,MUV_proxy,10.145316830409026,110.39002628754632,4.529394700002962,1.002110069927778,0.611911659479958,0.6808577018771336,0.06894604239717561,4.643030072413929,0.6668014965546366
36327,b'primer-uds-north',7.861698150634766,-18.292014047995963,8.216805619198384,MUV_proxy,10.002975434261861,99.20324935216414,5.0,0.6523016694305839,0.5635077861043761,0.6304240663384787,0.06691628023410257,2.6379210877850485,0.4212617996818757
42014,b'primer-uds-north',4.551596164703369,-18.116158945583226,8.14646357823329,MUV_proxy,9.601623194703626,191.7669702235892,2.6073311760467868,1.3150047087855252,0.6286402319646848,0.640873976684647,0.012233744719962192,1.4297484031681575,0.15525962017192205
42859,b'primer-uds-north',6.580926895141602,-17.11605364879029,7.746421459516116,MUV_proxy,9.404514149030275,79.06514917711044,5.0,0.8245342883666045,0.57920372951756,0.6036955922314442,0.02449186271388415,1.5663749697486347,0.19489573460532028
43738,b'primer-uds-north',5.0900678634643555,-18.889104958022354,8.455641983208942,MUV_proxy,9.964648769555378,93.7992621780625,5.0,1.1448779702815424,0.6207545184495458,0.6776586398665277,0.05690412141698198,4.253488394956202,0.6287452522312325
43932,b'primer-uds-north',4.235387802124023,-18.820637438275337,8.428254975310134,MUV_proxy,9.851793755522536,124.4399173826422,4.018003310485512,1.435501473898781,0.6406124141377797,0.6745337695657905,0.03392135542801078,2.9508472992305372,0.46994673616298127
44053,b'primer-uds-north',5.438138961791992,-18.018840221896326,8.107536088758529,MUV_proxy,9.651349984937728,126.5139810188023,3.952132372829931,1.0534258995481727,0.607220205765944,0.6327254551397785,0.02550524937383447,1.8167773197520771,0.25930169960885907
44681,b'primer-uds-north',4.5811662673950195,-17.84414448443324,8.037657793773295,MUV_proxy,9.495774420512797,82.07716409557993,5.0,1.304597550845854,0.6267335071100619,0.652885071526924,0.02615156441686206,2.1343485822480748,0.32926534994498763
46085,b'primer-uds-north',4.7858500480651855,-18.936913880278013,8.474765552111204,MUV_proxy,9.953350556917723,75.19261660062519,5.0,1.2361573447363436,0.628056482066681,0.6831056152264472,0.05504913315976623,4.536739910937471,0.6567438820911363
48927,b'primer-uds-north',7.9073028564453125,-18.20856778380715,8.18342711352286,MUV_proxy,9.974157399167392,88.70323407788338,5.0,0.6472928373049665,0.5619933993629115,0.6258569374572711,0.06386353809435963,2.5058584000820163,0.3989565264344754
52141,b'primer-uds-north',7.130077838897705,-19.196188220468922,8.578475288187569,MUV_proxy,10.29148307207734,83.40011570308987,5.0,0.7423887029817585,0.5860115877506707,0.6927745824409894,0.10676299469031869,5.820146067814165,0.7649338842460464
52856,b'primer-uds-north',6.320851802825928,-19.206664201164383,8.582665680465752,MUV_proxy,10.214750860748344,130.36898400918759,3.8352680570461692,0.8688626029359322,0.5995750972461161,0.6626753455145445,0.06310024826842842,3.3815806343266317,0.529119747705643
53667,b'primer-uds-north',4.563920497894287,-18.428622831993586,8.271449132797434,MUV_proxy,9.727841182586863,139.53292252148583,3.58338369873252,1.3106504924426297,0.6299312253985729,0.6540952001353707,0.024163974736797766,2.0213982058297897,0.3056518758900593
54143,b'primer-uds-north',4.731501579284668,-18.865377462520083,8.446150985008032,MUV_proxy,9.919301142936499,135.45754054007486,3.69119355044008,1.2537389178866252,0.6287634757132715,0.6632499898230774,0.034486514109805855,2.6138496817571886,0.41728060839353537
54603,b'primer-uds-north',5.651866912841797,-18.705537098158988,8.382214839263595,MUV_proxy,9.947401530547774,120.81149651493615,4.138678970326173,1.0031144083654464,0.6071823173306107,0.6512385063046209,0.0440561889740102,2.669992089629621,0.4265099746846897
55902,b'primer-uds-north',8.67038631439209,-18.158123577049885,8.163249430819953,MUV_proxy,10.030288062259162,76.45530737967627,5.0,0.5721130095169444,0.5499547548748017,0.6214620956087277,0.07150734073392595,2.4821306672059795,0.3948246403991325
56783,b'primer-uds-north',5.313366413116455,-17.220557936887353,7.788223174754941,MUV_proxy,9.319559816066585,87.9203147264202,5.0,1.08476845025347,0.6068253491217973,0.6272938726501117,0.02046852352831441,1.6378976901625244,0.21428677044909275
57469,b'primer-uds-north',5.667973041534424,-19.777406408841863,8.810962563536744,MUV_proxy,10.377759867690187,105.37355869003378,4.74502338362508,0.999485189153428,0.6196406620937567,0.7286140448867301,0.10897338279297342,11.250179082489002,1.0511594356845155
57944,b'primer-uds-north',5.289790153503418,-18.39299451975264,8.257197807901056,MUV_proxy,9.786176823251397,79.15001961700119,5.0,1.0908648903270772,0.612678367100829,0.6556416504977285,0.042963283396899477,2.83344119494527,0.45231420375154346
61010,b'primer-uds-north',7.1341962814331055,-17.987000259510943,8.094800103804376,MUV_proxy,9.808219731947686,145.64056178251772,3.433109525810814,0.7418245962946003,0.5732281582067941,0.601712206850855,0.028484048644060955,1.5992892093124893,0.20392700699273397
61298,b'primer-uds-north',5.24259614944458,-17.735209954683214,7.994083981873285,MUV_proxy,9.518343596817743,85.42160650122935,5.0,1.1032408350302578,0.6103247898055121,0.6382624656073881,0.027937675801876005,1.9836389175994207,0.2974626202547229
61378,b'primer-uds-north',7.458285331726074,-18.79015546818171,8.416062187272683,MUV_proxy,10.16189072044529,117.58698040520518,4.25217144174464,0.6995690379681607,0.5753395948072967,0.6446562570810573,0.06931666227376065,2.9376071336136436,0.46799371415257535
62716,b'primer-uds-north',5.386734962463379,-19.215492910727345,8.586197164290937,MUV_proxy,10.124870660537274,88.86082499488971,5.0,1.0661539698472076,0.6175260419170847,0.6926915086732932,0.0751654667562085,5.934860794859198,0.773410536814871
64273,b'primer-uds-north',7.1315598487854,-16.571539656596613,7.528615862638644,MUV_proxy,9.241771847517185,95.45100089901749,5.0,0.7421856286857627,0.5666822056223361,0.5859358088865334,0.01925360326419734,1.3737578590935404,0.13791018998200683
66007,b'primer-uds-north',4.596338272094727,-16.577231955645733,7.5308927822582925,MUV_proxy,9.0,90.98577110551594,5.0,1.299310713999878,0.6229299049007379,0.6349575157534518,0.012027610852713977,1.4152130441439923,0.1508218228508255
67270,b'primer-uds-north',5.665100574493408,-18.918995532774844,8.467598213109937,MUV_proxy,10.034108270559278,82.00542927635038,5.0,1.0001308470384247,0.6088143580228073,0.674244427813894,0.06543006979108679,4.281022156574182,0.6315474755458265
68006,b'primer-uds-north',5.160264492034912,-17.799725522068222,8.019890208827288,MUV_proxy,9.535916658030779,74.1397249355095,5.0,1.1253972350805213,0.6125080253545376,0.6411349484384586,0.028626923083921008,2.046080025111751,0.31092261558571604
69921,b'primer-uds-north',5.654876708984375,-18.751775072437603,8.400710028975041,MUV_proxy,9.96619769987348,112.60075282301595,4.4404676475466545,1.0024345446361616,0.607510642676369,0.6574818730552454,0.04997123037887641,3.0440086429282527,0.48344588120323917
69936,b'primer-uds-north',7.033966541290283,-19.360973701872858,8.644389480749142,MUV_proxy,10.34778613487817,78.70314772328626,5.0,0.7557584345366076,0.5900826206652311,0.7074411781915837,0.1173585575263526,7.177806043959886,0.8559917188097017
70423,b'primer-uds-north',5.477656364440918,-17.023131624812354,7.709252649924941,MUV_proxy,9.257018286369034,95.35114842972806,5.0,1.0438116568513809,0.6024558809456969,0.6211306085892905,0.01867472764359357,1.5421468746664244,0.18812573805963373
70813,b'primer-uds-north',4.70626974105835,-18.445861592288747,8.278344636915499,MUV_proxy,9.748971611021334,100.70344797393987,4.965073292519144,1.2620429013870305,0.6265462746850754,0.6655812439423121,0.03903496925723671,2.9884391905714547,0.47544442313842944
71037,b'primer-uds-north',6.849483013153076,-18.214225486236323,8.185690194494528,MUV_proxy,9.870638495809835,68.42158433044855,5.0,0.7825711320418615,0.5800290762021176,0.632241750241781,0.05221267403966334,2.4793660950520504,0.39434065799903695
71893,b'primer-uds-north',6.4291839599609375,-18.516175992769384,8.306470397107752,MUV_proxy,9.949388793103846,134.07548138606464,3.7292426238640255,0.8499276992759288,0.5902551494922105,0.6296231249961409,0.03936797550393045,2.1033978547918655,0.322921426656148
4278,b'primer-cosmos-east',5.658226490020752,-18.682312022164837,8.372924808865934,MUV_proxy,9.93874745786801,166.72576349784188,2.9989366340881807,1.00167878344541,0.6068587155234503,0.634184041816139,0.02732532629268869,1.8372114025960256,0.2641591321895859
6282,b'primer-cosmos-east',5.673777103424072,-19.83129225899538,8.832516903598151,MUV_proxy,10.399894613940559,74.25574260142744,5.0,0.9981826940217888,0.6204389594561559,0.74212662363939,0.12168766418323407,14.868665474875277,1.1722719905188217
9227,b'primer-cosmos-east',5.713857173919678,-20.6002220843258,9.140088833730319,MUV_proxy,10.711474551122286,165.23975068084368,3.0259062842919504,0.9892647317126655,0.6368528141566017,0.7375363136017675,0.10068349944516586,9.146688400795197,0.9612638842757888
10696,b'primer-cosmos-east',5.667762279510498,-17.913941567128244,8.065576626851296,MUV_proxy,9.632352854802345,88.3758712353823,5.0,0.9995325395804096,0.601643771918007,0.6357275432993621,0.0340837713813551,2.132005485577772,0.32878831778093787
11967,b'primer-cosmos-east',5.482297897338867,-17.70741974049986,7.982967896199943,MUV_proxy,9.53119768593383,133.14641670470147,3.755264410223852,1.0426919783304216,0.6047578060202592,0.6244496531856207,0.019691847165361542,1.5781897595533898,0.19815922103575753
14086,b'primer-cosmos-east',7.127323150634766,-17.672069166585732,7.968827666634292,MUV_proxy,9.681559981697768,78.36029237983924,5.0,0.7427664131327525,0.5713480931115106,0.6100918591314118,0.03874376601990126,1.895535745213337,0.2777319785817801
14487,b'primer-cosmos-east',7.169253349304199,-18.42799352396667,8.271197409586668,MUV_proxy,9.988122744517087,141.48399577197281,3.533968610879784,0.7370515027554156,0.5761908928974474,0.6159414490074776,0.0397505561100302,1.9175939885486004,0.2827566595611297
15393,b'primer-cosmos-east',5.689459800720215,-17.60131108719087,7.940524434876346,MUV_proxy,9.509470414948368,123.6962826516061,4.04215865894906,0.994677391124343,0.599722729425129,0.6209363027149349,0.021213573289805887,1.5982409115387763,0.20364224347988544
15850,b'primer-cosmos-east',7.045637607574463,-18.854532485601553,8.441812994240621,MUV_proxy,10.146376754998068,76.68805100667778,5.0,0.7541136403124238,0.5827804976683241,0.6658460402196582,0.08306554255133414,4.022964552552741,0.60454620589998
16083,b'primer-cosmos-east',4.577879905700684,-18.228176455232102,8.19127058209284,MUV_proxy,9.64905857266291,90.46193984352975,5.0,1.3057474206403714,0.6285209926786729,0.6618763700091936,0.03335537733052074,2.6323051722370034,0.4203362371211221
16408,b'primer-cosmos-east',4.574862957000732,-18.39209251194425,8.256837004777699,MUV_proxy,9.714323300477773,91.36930141555193,5.0,1.3068045064163447,0.6294565886453103,0.6664730371502158,0.037016448504905486,2.9298797215044905,0.4668497919039087
16563,b'primer-cosmos-east',5.0219926834106445,-18.386393790064062,8.254557516025624,MUV_proxy,9.756756784366688,70.93498214271098,5.0,1.164310701518684,0.6187188218117147,0.6592075309569693,0.0404887091452546,2.8507653344476895,0.45496146909867236
17813,b'primer-cosmos-east',5.226693153381348,-17.484805685649018,7.893922274259607,MUV_proxy,9.416591589597742,109.40921548419057,4.569998951068698,1.1074637764847746,0.6097228761176016,0.6308897864681646,0.021166910350563062,1.6835828036929157,0.22623448116518852
18893,b'primer-cosmos-east',4.8477396965026855,-18.71116084971713,8.38446433988685,MUV_proxy,9.869238309537119,166.86677167428374,2.9964024292144695,1.216629245561429,0.6248997238200817,0.6484873330479527,0.023587609227870954,1.8921607865179975,0.2769580378430451
19462,b'primer-cosmos-east',4.3650689125061035,-17.517428739792308,7.906971495916922,MUV_proxy,9.343478387167533,94.0519368287005,5.0,1.383952494072174,0.631164975531829,0.6515097180639144,0.020344742532085403,1.8695399443282172,0.27173474866435104
19946,b'primer-cosmos-east',5.974449157714844,-17.95800058449554,8.083200233798216,MUV_proxy,9.6806451495697,87.65106225812531,5.0,0.9343739671147367,0.5953777807594849,0.6326329119530987,0.03725513119361379,2.16746991499531,0.33595307807802766
20187,b'primer-cosmos-east',6.60816764831543,-19.234168973485463,8.593667589394185,MUV_proxy,10.254484354225728,72.95404931448154,5.0,0.8201090775601615,0.5949888632101701,0.6933310480600499,0.09834218484987978,6.002953044764201,0.7783649463078047
21943,b'primer-cosmos-east',4.715499401092529,-17.48759376893191,7.895037507572763,MUV_proxy,9.366587447682015,118.53507125803986,4.218160875877371,1.258994792272945,0.6220817627893943,0.6392958295375052,0.01721406674811088,1.618677312517724,0.2091602796608617
23571,b'primer-cosmos-east',4.760718822479248,-17.571934379257396,7.928773751702957,MUV_proxy,9.404845633950883,102.90919197163319,4.858652472344982,1.2442360242695647,0.6212369175147592,0.6432654549485426,0.022028537433783413,1.8387430599607855,0.2645210465641804
26971,b'primer-cosmos-east',6.406652450561523,-19.574107712870415,8.729643085148165,MUV_proxy,10.370308330204317,133.57555911087675,3.7431997539682103,0.8538090624865597,0.60353666632751,0.6829705096213199,0.07943384329380987,4.513806378088955,0.6545429258691171
27072,b'primer-cosmos-east',4.957128047943115,-24.93581603619396,10.874326414477583,MUV_proxy,12.370039219271895,63.849597371654575,5.0,1.1833418921999908,1.4582685330688259,47.434076454621795,45.97580792155297,5.184705528587072e+21,21.71472409516259
27765,b'primer-cosmos-east',5.172641754150391,-18.41738423430438,8.266953693721751,MUV_proxy,9.784217869136791,83.07954313529999,5.0,1.122019396300922,0.6154622017948401,0.6580705092181399,0.042608307423299796,2.8932646382054035,0.4613881590734772
31668,b'primer-cosmos-east',5.607691287994385,-18.95291826112945,8.48116730445178,MUV_proxy,10.04193643325122,65.8799880032613,5.0,1.0131817597431045,0.6103071550137188,0.6764305768566237,0.06612342184290487,4.4316801371634815,0.6465684070277002
31770,b'primer-cosmos-east',5.779069900512695,-19.908183131952807,8.863273252781122,MUV_proxy,10.441180242832392,65.86514684958436,5.0,0.9750346729359033,0.6199438664502903,0.7514002251736306,0.13145635872334027,17.258804068675133,1.2370106984261267
32928,b'primer-cosmos-east',4.458100318908691,-19.620503351914046,8.748201340765618,MUV_proxy,10.194011372656487,88.29622998359365,5.0,1.348833867833729,0.6423372772445887,0.7228402986816603,0.08050302143707166,11.167463255580811,1.0479545321826274
40209,b'primer-cosmos-east',5.460907459259033,-17.686411134123567,7.9745644536494265,MUV_proxy,9.52065519957533,96.23145359555866,5.0,1.0478686539339355,0.6051474490532979,0.6334418723582118,0.02829442330491394,1.9325939087171877,0.28614060636618194
40642,b'primer-cosmos-east',4.634339809417725,-18.677568501973504,8.371027400789401,MUV_proxy,9.834461381731174,99.40246644881638,5.0,1.2862235902660775,0.6297372616337846,0.6747778880180058,0.04504062638422113,3.623298518486514,0.5591041164222432
40799,b'primer-cosmos-east',7.681150913238525,-17.611949095069065,7.944779638027625,MUV_proxy,9.71289472935148,72.90880432892983,5.0,0.6727787064988333,0.5611993974498874,0.6025840853242866,0.041384687874399195,1.856564030486382,0.2687099320740933
42464,b'primer-cosmos-east',5.367482662200928,-20.146746643649383,8.958698657459752,MUV_proxy,10.495446923679845,104.96168627510785,4.7636429800630715,1.070986890274497,0.6317024722366794,0.7643453956595657,0.1326429234228863,23.49676929683235,1.3710081527818467
43445,b'primer-cosmos-east',5.696870803833008,-16.8612234852915,7.644489394116599,MUV_proxy,9.214176474499899,150.07226935186785,3.3317281211205785,0.9930280365366937,0.5970598790925002,0.6072614970162332,0.010201617923732975,1.252475581702391,0.09776926760492526
45179,b'primer-cosmos-east',7.10549259185791,-19.021110586668016,8.508444234667206,MUV_proxy,10.218993493852997,59.434501554558324,5.0,0.7457710497389679,0.5839110501313969,0.6780779984261337,0.09416694829473682,4.761675688956648,0.6777598128889224
47824,b'primer-cosmos-east',5.6554951667785645,-19.22500257938916,8.590001031755662,MUV_proxy,10.155550548433519,104.23361021977952,4.796917222244685,1.002294939932888,0.6122233004113509,0.6879846661264577,0.07576136571510683,5.405676652209049,0.7328500642333667
48498,b'primer-cosmos-east',4.453303813934326,-17.737477453146425,7.994990981258569,MUV_proxy,9.440321362652002,183.0793189388025,2.731056696617568,1.3506082253901117,0.6295971427081534,0.6397903878125218,0.010193245104368476,1.3578942120046247,0.13286593715198067
48540,b'primer-cosmos-east',5.656249046325684,-16.855273895371152,7.64210955814846,MUV_proxy,9.207734462781028,129.66140636657602,3.8561975688155847,1.002124810102317,0.5979533160928149,0.6103294477371544,0.012376131644339483,1.3173333763397872,0.1196956953741659
50325,b'primer-cosmos-east',6.427699089050293,-19.421946072118455,8.668778428847382,MUV_proxy,10.311548337752411,136.02620503510835,3.6757623273467788,0.8501825855571346,0.6007607221110035,0.6708570430406141,0.0700963209296106,3.7596506105384733,0.5751474872240537
50988,b'primer-cosmos-east',4.526494026184082,-19.50153564592179,8.700614258368716,MUV_proxy,10.153263660987125,112.92731964664193,4.427626561619788,1.3239479421180453,0.6394112544958342,0.7035828611692081,0.06417160667337385,6.606123589732429,0.8199466943685246
51514,b'primer-cosmos-east',4.436739921569824,-19.52710020458859,8.710840081835435,MUV_proxy,10.154514073992418,100.43890060929056,4.97815086551983,1.356765533518825,0.6417811478916545,0.7166248012736683,0.07484365338201382,9.550198930519489,0.9800124180263738
51855,b'primer-cosmos-east',4.651200771331787,-19.735592258413163,8.794236903365265,MUV_proxy,10.259356980498444,94.25044203453028,5.0,1.280486838537209,0.6393939316857272,0.7302178432817508,0.09082391159602354,13.255576055621185,1.122398605878347
52084,b'primer-cosmos-east',7.075610160827637,-19.18404760972223,8.573619043888892,MUV_proxy,10.281180059971655,55.488546720226125,5.0,0.7499167818830127,0.5866793377219093,0.6913626898968822,0.10468335217497293,5.723204903037531,0.7576392948626998
52124,b'primer-cosmos-east',4.833804130554199,-19.040208827876313,8.516083531150525,MUV_proxy,9.999463944205944,147.2682086334743,3.395165899277118,1.2209814756790294,0.6278201160594572,0.662802761239698,0.034982645180240746,2.5835937908931443,0.41222423213985127
54661,b'primer-cosmos-east',5.667634010314941,-18.696773447367836,8.378709378947134,MUV_proxy,9.945472779978628,121.92669540006341,4.1008246664884185,0.999561358745822,0.6067835203363293,0.6501813095091625,0.04339778917283321,2.6220915252339148,0.41864784685456496
