id,z,log_Mstar,gamma_t,predicted_ew_tep,predicted_ew_std,priority_score
163.0,7.125229634067032,8.666426510991736,0.5837925169363107,0.002683701023220095,0.002683701023220095,0.0
219.0,6.6356748775847425,8.676146876894515,0.5946946945277901,0.002683701023220095,0.002683701023220095,0.0
220.0,6.896843688280427,8.864674905625588,0.5976065030622381,0.002683701023220095,0.002683701023220095,0.0
299.0,7.583136327978352,8.430460904633248,0.5673021458160572,0.002683701023220095,0.002683701023220095,0.0
301.0,6.53027077453336,8.400526150752723,0.5884682463715387,0.002683701023220095,0.002683701023220095,0.0
399.0,6.071092697078184,8.703666843305733,0.6085838394264567,0.002683701023220095,0.002683701023220095,0.0
409.0,6.113268976464072,8.299965183999552,0.5954786821653785,0.002683701023220095,0.002683701023220095,0.0
423.0,9.669398969427604,8.836839094755742,0.5419742103295094,0.002683701023220095,0.002683701023220095,0.0
433.0,6.931310791336564,8.023781288606017,0.573305325173654,0.002683701023220095,0.002683701023220095,0.0
444.0,6.684022861080415,9.587475763050882,0.684020676906087,0.002683701023220095,0.002683701023220095,0.0
456.0,7.580495028648944,8.329442304654323,0.5651138531101886,0.002683701023220095,0.002683701023220095,0.0
472.0,7.062859975471843,8.86371036025871,0.5939430216856776,0.002683701023220095,0.002683701023220095,0.0
514.0,6.570101555015289,9.010888596227792,0.613970915176794,0.002683701023220095,0.002683701023220095,0.0
546.0,7.299455035415543,8.30275125808761,0.5701877417926494,0.002683701023220095,0.002683701023220095,0.0
634.0,8.423488579766078,8.571069651463315,0.5548961585771435,0.002683701023220095,0.002683701023220095,0.0
731.0,6.585579026750897,8.313994451531197,0.5853243295213034,0.002683701023220095,0.002683701023220095,0.0
734.0,6.043016485419921,8.632141307418221,0.6064166417106006,0.002683701023220095,0.002683701023220095,0.0
752.0,6.909431015577381,8.458614858431385,0.581796652706312,0.002683701023220095,0.002683701023220095,0.0
756.0,7.078714449986581,8.869753011897807,0.5939228416065192,0.002683701023220095,0.002683701023220095,0.0
785.0,7.39085620363864,8.714357510426643,0.5801120948975125,0.002683701023220095,0.002683701023220095,0.0
