id,z,log_Mstar,log_Mh,t_cosmic_Gyr,gamma_t,t_eff_Gyr,SFE_obs,SFE_true,SFE_excess,SFE_excess_corrected,pct_anomaly_resolved
S1-Xiao,5.85,11.15,13.0225,0.9599391066336307,7.481970003793995,7.18223560130163,0.5,0.122224657916678,2.5,0.6111232895833899,100.0
S2-Xiao,5.3,10.95,12.83,1.0882178214208644,3.693074596715042,4.01886959198198,0.5,0.20035415264355788,2.5,1.0017707632177892,99.88194911881403
S3-Xiao,5.55,10.8,12.6525,1.0265842594734922,2.437674949850882,2.50247873322975,0.5,0.26797047632975124,2.5,1.3398523816487562,77.34317455674959
