kappa_gal,rho_dust_z8,p_dust_z8,rho_age_z4,p_age_z4,ks_stat,p_ks
100000.0,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
138775.51020408163,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
177551.02040816325,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
216326.5306122449,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
255102.04081632654,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
293877.55102040817,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
332653.0612244898,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
371428.5714285714,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
410204.0816326531,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
448979.59183673473,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
487755.10204081633,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
526530.612244898,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
565306.1224489796,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
604081.6326530613,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
642857.1428571428,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
