z,t_cosmic,gamma_halo,gamma_cen,boost_factor
4,1.5376119055792732,0.7014886928219776,1.6848943653764201,391943705233866.9
5,1.1707060409971528,0.6781473995439821,1.7709158836760135,2221327056300.7583
6,0.9292649497655731,0.6573689786332586,1.8538919039107855,53803045604.06348
7,0.7605794020397411,0.6386013735228381,1.9346138256628855,3259687738.115136
8,0.6373066474552558,0.6214626855462964,2.0136275560692356,365345455.9583015
9,0.5440162180845616,0.6056759796122729,2.0913280090713076,63111763.94317485
10,0.47141478279933635,0.5910330307270397,2.1680115434485865,14950332.04411917
