z_phot,log_Mstar,dust
9.9624,8.59327,0.0
9.948,8.82049,0.0
8.2109,9.00183,0.1
8.9365,10.78474,0.7
9.1798,9.80691,0.0
8.4734,9.0498,0.1
10.0162,8.1874,0.0
9.0575,9.81607,0.0
9.286,8.4727,0.0
8.1904,8.48509,0.1
8.0694,8.86835,0.1
10.0648,8.06854,0.0
9.7488,8.39569,0.0
8.0216,9.33213,0.2
9.2758,8.04387,0.0
8.3117,9.73986,0.2
9.3228,8.92846,0.0
10.0323,8.07529,0.0
9.0083,8.93834,0.1
8.109,8.77793,0.0
8.0747,9.11917,0.1
9.9274,8.54631,0.0
8.0711,8.69074,0.1
8.5962,10.68757,0.7
8.172,9.63962,0.4
8.2928,9.33515,0.2
9.0636,8.47602,0.0
10.0261,7.87772,0.0
8.4179,9.03497,0.1
9.6589,8.91314,0.0
8.7039,8.5585,0.0
8.6853,8.84835,0.1
8.641,9.425,0.2
8.1742,8.77372,0.0
9.9356,8.31148,0.0
9.9519,8.74035,0.0
8.2318,8.93233,0.0
8.7464,8.53323,0.0
8.4668,8.47462,0.0
10.3339,8.70405,0.0
8.2236,9.35987,0.4
8.5467,9.49353,0.4
11.8566,9.90808,0.0
10.0356,8.07078,0.0
8.8358,8.44917,0.0
9.8282,8.95838,0.0
9.9196,8.71672,0.0
8.3237,10.28404,0.5
10.0018,8.09441,0.0
8.4191,9.12558,0.0
10.01,8.41402,0.0
8.0288,8.77482,0.0
8.4354,9.30944,0.0
8.9882,8.50552,0.0
8.0207,9.4183,0.1
9.9531,8.68931,0.0
10.0291,8.66415,0.0
10.0318,7.85504,0.0
8.7994,8.49377,0.0
9.5958,10.08655,1.2
9.501,8.18913,0.0
8.2926,9.46933,0.1
8.3653,9.48564,0.3
8.2298,8.33316,0.0
10.5092,8.75916,0.0
8.6701,9.35147,0.2
8.3395,9.58384,0.5
8.089,9.65347,0.5
10.0504,8.15659,0.0
10.3956,10.36032,1.2
8.3358,8.33092,0.0
10.8821,9.35852,0.1
10.0395,8.03376,0.0
8.2252,8.60938,0.1
8.9196,8.10135,0.0
8.6006,8.50739,0.1
9.5289,8.74102,0.0
10.0516,8.89319,0.0
9.254,8.81922,0.1
9.6191,8.77298,0.0
9.8652,8.16766,0.0
8.766,8.2449,0.0
10.0169,8.12112,0.0
9.078,10.87808,1.2
9.5684,8.62645,0.7
9.8051,8.39877,0.0
9.8454,8.97238,0.0
9.5082,8.47837,0.0
8.9157,8.15886,0.0
9.5496,8.58522,0.0
8.4968,8.37042,0.0
9.4035,8.22544,0.0
8.1293,8.38866,0.0
9.0937,8.32594,0.0
10.0292,8.06349,0.0
8.3088,8.72163,0.1
9.0734,8.54917,0.0
9.8604,8.54508,0.0
8.5302,9.22107,0.2
9.8452,8.39744,0.0
9.9927,8.5536,0.0
9.6726,8.21602,0.0
8.6291,8.65382,0.1
9.4704,8.5069,0.0
8.315,8.37041,0.1
9.8964,8.11484,0.0
8.4489,9.38996,1.2
9.9994,8.25642,0.0
8.4835,9.81571,1.2
9.9938,8.0553,0.0
10.0516,8.35774,0.0
9.1725,8.13757,0.0
9.2701,8.03414,0.0
9.2535,8.29719,0.0
9.346,8.18895,0.0
8.674,8.93421,0.1
