id,ra,dec,z_phot,log_Mstar,sfr,dust
7,215.04735,52.867393,9.788311524501013,9.564275530616124,1.3743578507731589,1.5621783840408807
1801,215.14088,52.95131,8.269023118055742,8.398693011068978,1.0613518118870908,0.15085849177300986
2195,215.07964,52.90957,8.944666175878305,8.487235656868055,0.39899764912211777,0.002953769985179865
2297,215.1694,52.972984,8.26101044680062,8.773197853494748,1.431251596626571,0.4646315171172693
3351,214.9964,52.854153,8.89994225642463,8.497193192660419,0.4501777222522113,0.0029154181313786765
4057,215.08992,52.922062,8.250757687240052,8.493822300031036,1.153013582760312,0.220714298081568
4208,215.13701,52.955647,8.482855472760022,9.610410494384523,2.2696017771137984,0.5257716448924659
5596,215.00867,52.868305,8.810164774041441,8.932359540714433,1.05877704882202,0.6182356242452909
6051,214.90282,52.794247,9.077841120122907,8.794021275537606,1.0662075109613967,0.22551556955456725
6457,215.04706,52.89748,8.310249200045499,8.266613682129163,0.9212006486891473,0.019586792609832804
7227,215.03539,52.89067,8.537289976322704,9.3574744158714,2.012061382431383,0.906213586204681
9064,215.00107,52.99023,8.527941806111864,8.617312957406408,0.9630870773126623,0.36692531138145995
10668,214.95007,52.949265,8.309131406776256,8.118417579485685,0.7776088622149611,0.14570857338060478
12105,215.0117,52.988304,9.054490967143,8.586716466670829,0.9572744440932923,0.07065149037077893
12204,214.86093,52.881157,10.758771221280414,8.738101473691334,1.3972927564206103,0.021940645613098428
12336,214.98094,52.965862,8.735510735466391,8.649685115950371,0.8398397369655263,0.27442838832448807
14932,214.87187,52.880432,8.22428732232112,8.668731495062616,1.0427854258689575,0.32853917041454267
16100,215.03113,52.989685,8.000990598624126,8.522884708716026,0.39068927145752064,0.01639521877444365
16691,214.6983,52.751537,8.263252561550924,8.63299809163395,1.2910518347657736,0.4056937651247244
16764,214.92279,52.911526,10.49330552118873,8.471803985850318,0.8458579166566589,0.131691354273404
16816,214.9388,52.922733,9.956812076280064,8.972463708551626,0.4526853535711854,0.23207121029431882
17042,214.69514,52.74856,8.951080454941769,9.990228734518443,0.4165623787573113,1.1845000573553226
17052,214.83931,52.85147,10.031147051793326,7.183995851094965,-0.15681286617575843,0.02019578286469019
17910,215.044,52.9943,10.825542470338522,9.082596654543304,0.3127147750959899,0.1421872839143093
19955,214.84479,52.847572,8.301801450111704,8.443360666512254,1.1060194673303656,0.2599114115576158
20096,214.84381,52.846367,8.893922471739742,9.121798810521813,1.125396356672915,1.0578398075056197
20437,214.96753,52.93295,8.918340121454657,8.938137285874674,1.113340831011902,0.8715176484720524
20615,214.93864,52.91175,8.889266787411948,8.681315695172168,1.3405069779014454,0.5761511445474459
21619,214.9687,52.929646,8.863486471167146,8.641011520344616,1.3002028030738928,0.398529028032606
22498,214.7181,52.7481,9.15496406015561,10.379384859517607,2.7568710575554776,3.0074146894702616
22637,214.73251,52.758087,10.35014297460808,8.090065392041277,0.7527241928593883,0.0441603405493312
24191,214.97552,52.925266,9.81488142640269,9.78543396151717,2.4434877046489922,1.3963172659069572
24204,214.97736,52.926495,10.049498578973282,9.229575455652192,0.6780129920975302,0.47072347007875287
26496,214.78934,52.784584,8.161868260086164,8.594582331452385,0.642022273966549,0.0999978142170908
29621,214.99098,52.916523,8.721706203303413,9.878209331941719,1.5419359852088799,1.9676092879608817
31783,214.89723,52.843853,8.88875662681878,8.091690852783147,0.7497445959149707,0.17710994607200675
37199,214.91339,52.840683,8.29209991487049,9.470806909799261,0.5161690812467917,0.5184790496985472
37909,214.77458,52.738934,9.130534248479995,9.194702421714172,1.8573612225322849,0.3876459269624815
38728,215.12515,52.986538,8.898920521279456,8.917591113744042,0.3494107491846228,0.21202100830866982
39152,215.05975,52.93933,9.003159583705195,8.5575746891317,0.5116435452151691,0.015384424153662968
41814,214.97632,52.873417,10.506864353657775,8.295119360224481,0.9577781610425933,0.27870004780004237
41878,214.93208,52.841873,11.04602697401669,8.208208550450312,0.8627955170102961,0.20788693752393655
42229,214.90762,52.82345,9.879108389139846,11.175865314296425,2.783271971282249,2.9217541101179774
42377,214.80606,52.750866,8.383675390580898,9.062663572165196,0.5111011086105346,0.26438175614183074
42752,215.12004,52.97256,8.970268479984336,8.55467234509951,0.7426595959782647,0.17374265554102358
42894,215.0618,52.931175,9.175611102630091,9.856065497755141,1.3985448063451407,1.4567693710246918
46674,214.88045,52.793312,8.032041386729835,10.633892748573455,2.2416811070801006,1.9634072163483016
46729,214.81711,52.74834,9.562198144404428,9.523448632434624,1.3817714064436806,0.932835904366963
48973,214.8998,52.80154,9.878034950639222,10.159413221910604,0.9471191608506422,1.2100213133909556
49679,214.81184,52.737114,9.563324495540554,8.873611815289589,1.1429445915570955,0.5711290062660059
51405,214.90663,52.945503,11.657011066125431,8.640297308666977,1.2994885913962533,0.9624017386402444
51749,214.8199,52.884876,8.292313517580375,10.979524448593573,2.7410848054038057,2.7727536800905583
51791,214.82,52.88489,8.380688724205235,10.575690736942404,2.28587655683485,2.2562625651268093
51816,214.77185,52.850964,8.713521411990243,8.75670186854213,0.3651008927178034,0.0008336643634252894
53061,214.90224,52.93937,10.00686193996837,9.934994008254089,0.1489340880169306,1.249271159268528
53379,214.83066,52.887775,8.889189042567896,9.838254566705386,0.05219464646822757,1.0672724247311582
