z,t_cosmic_Gyr
7,0.7605794020397411
8,0.6373066474552558
9,0.5440162180845616
10,0.47141478279933635
11,0.41360803060998513
12,0.36669664851854383
13,0.32800931391027954
14,0.29566120793875433
15,0.2682885048804907
