id,ra,dec,z_phot,log_Mstar,sfr,dust
7,215.04735,52.867393,9.788311524501013,9.564275530616124,1.3743578507731589,1.5621783840408807
11,215.04204,52.86422,4.836261185646738,7.736411832087304,-0.40586790975844017,-0.8057197170803678
15,215.04756,52.868294,4.300954999996923,8.290859700624116,0.11439853907834834,-1.0688676759958535
16,215.05238,52.87173,4.207710550779083,7.249737335102353,-1.3175846250773962,
17,215.0478,52.868534,4.763427154874817,7.445275259961334,-32.84596602549692,-3.2811272440216555
20,215.04884,52.86938,4.762061334799154,6.674029508977771,-2.393389045430492,-2.2057969131503863
24,215.0409,52.863815,7.046614689547152,8.516103816419271,0.42227844491396915,0.02961244954048374
29,215.04276,52.86548,4.83316801560048,7.113304632844285,-0.22750408442643844,-1.585426745501484
32,215.04137,52.8647,5.284755259326687,6.818781771065237,-1.1820562530077674,-1.7467903801517504
48,215.04663,52.869343,4.657509279087583,8.339241424708707,0.06679184933144017,-0.3384213128802797
52,215.06096,52.87958,5.0311868704319584,7.6973566210170645,0.35654790374634115,0.15288016749183747
76,215.04184,52.866238,4.909306033761132,9.422263629411349,1.1583771507030456,-0.6521653600007133
82,215.04138,52.866352,6.195103880107559,8.496715856857564,0.5941796279446563,-0.037482191795578726
85,215.06554,52.88362,5.32657615464103,8.066210589123658,0.1573142065157207,-0.36279794109313407
103,215.05968,52.879837,7.199096012025744,8.201560812308461,0.860752095037737,-0.08318127681955674
120,215.05505,52.876896,5.043596677405788,6.550852849997866,-1.261159899123379,
123,215.06783,52.885975,5.829561935655314,7.231994406598298,-1.9802996544616647,-1.372141899777279
124,215.04634,52.870773,4.463790694478213,8.094570788180876,0.7572295889989882,-1.4252588866799516
133,215.05809,52.879135,7.33266763393279,8.892541792877429,1.5505955360092525,0.694260166335344
139,215.0444,52.86984,6.661736042606795,8.25109905286436,-0.06755486151583967,-0.3593149812703706
145,215.04878,52.873028,4.235917624570171,7.358632983371773,-0.5168773544021599,-0.9356040547776501
146,215.06248,52.88273,4.715811190486321,7.618974929856414,0.2781662125856901,-1.4123929612076664
147,215.04803,52.87252,7.267210810563247,6.8431223744414815,-1.032387963332452,-2.3816941954802178
148,215.04175,52.86806,4.698456481357509,8.219152718449902,-0.11687775876092789,-0.4440560586082411
184,215.05829,52.880486,7.3533243631705565,7.824703718046506,0.4827574611783293,-0.6269977294606153
202,215.04733,52.873055,5.238625884545634,6.556547323740968,-0.788865709699048,-1.5855086764042663
215,215.06403,52.88524,4.6590228995618705,6.795100036559796,-1.99576494269866,-1.5603091384497882
232,215.0409,52.869255,5.243851317604672,7.016981248886,-0.9355788085998358,-1.480050471991523
235,215.05426,52.878765,5.4859629523287765,6.805376541069213,-0.8177286276926153,-1.232658855834678
238,215.05836,52.881706,6.682380279495606,6.493686722513509,-1.7448511600096979,-2.7021894031394917
253,215.06433,52.886368,4.112532581220027,6.50071338272524,-1.3240830721375327,-1.483671881936656
256,215.05968,52.882915,4.753113229682666,8.394848567880784,0.25435169117282574,-0.2554695482034374
268,215.06091,52.884212,6.907281327956701,7.314802542035528,-0.026006175235195952,-1.0758809772146232
275,215.07161,52.8919,4.651468125904439,6.9197056349201995,-2.693461317759952,-1.8150191833623714
278,215.05746,52.881744,6.663433710788741,8.967421965944983,1.1086821953385577,0.41183360409113107
290,215.07056,52.891438,4.697474125665486,7.1105713388969916,-3.0712192742371998,-3.019702698367373
303,215.05629,52.88162,6.612186266517964,7.877740531786528,0.5357942749183511,-0.6487271572617543
304,215.05789,52.882755,6.5304420736458315,7.385573777041492,0.044765059770768736,-1.149418722548352
318,215.03867,52.869476,7.395725251481613,8.395815842411107,1.0584746432292198,0.0802145050186565
327,215.03833,52.869164,4.754195718830734,8.061307554477434,0.4382023857156055,-0.31119702378388986
330,215.03612,52.867916,6.685506955764427,7.065764804418592,-1.6495536729005698,-2.0572410749661088
336,215.05763,52.882946,6.617468894234037,9.227154054415385,1.0570773434595804,0.6958244609150843
349,215.07059,52.89195,4.196490542165115,9.79094478230393,1.5270583035956269,1.1027460344291389
370,215.05336,52.88063,5.863426786967902,8.760370129963016,0.6355148237328276,0.16130199681112295
400,215.06375,52.888824,4.287627297043416,7.405520030284142,-32.88572125517412,-3.2838977811971364
406,215.05345,52.88164,4.915659558354632,8.370247401050058,0.051593486669858975,-2.095202228856571
408,215.03284,52.86709,6.361098842286208,7.130440006414958,-1.7286516571254107,-1.3116531470724158
412,215.0497,52.8791,4.852581127670483,7.582284582268029,-21.862436463460018,-1.5820549843194054
417,215.06339,52.88869,4.939444066383163,8.782761129324998,1.0549473647487881,0.9912116650240965
420,215.05446,52.88263,4.795707608104881,7.628072557084055,-34.831716522290215,-3.10945407316289
429,215.06096,52.88745,4.827514434204364,7.813320286539089,0.19080648457695992,-1.4145993062223865
