file,srcid,grating,filter,dataset,root,objid,grade,valid,sn_line,z,log_Mstar,line_ha,line_hb,line_ha_nii,snr_oiii_5007,snr_hb,snr_ha,has_balmer,best_line_snr,best_line,resolution_rank,gamma_t_mass_proxy,public_url,local_path,spectrum_fetch_status,log_balmer,fit_status,line,sigma_kms,sigma_kms_err,amplitude_snr,median_R,sigma_inst_kms,resolution_source,line_center_um,reduced_chi2,n_window_points,quality_screen_pass,quality_screen_reason,sigma_frac_err
valentino-obs19-v4_g235m-f170lp_3567_26315.spec.fits,26315,G235M,F170LP,jw03567019001_03101_00002_nrs2_f170lp_g235m_raw.54.3567_26315.fits,valentino-obs19-v4,150351,3.0,1.0,83.0,5.3109922,8.742538389339458,2421.8286,666.9173,,82.9817109808695,50.77338906968419,74.51374494373691,True,82.9817109808695,oiii_5007,1,0.6287114491424524,https://s3.amazonaws.com/msaexp-nirspec/extractions/valentino-obs19-v4/valentino-obs19-v4_g235m-f170lp_3567_26315.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/valentino-obs19-v4/valentino-obs19-v4_g235m-f170lp_3567_26315.spec.fits,local_existing,0.5600714203135686,success,oiii_5007,5.000000000065663,264.15286725403416,8.59168837303418,1000.0,127.3101350723384,grating_fallback_G235M,3.1607229218299255,238.4475882924243,24,False,screened_out,52.83057345011303
glimpse-obs02-v4_g395m-f290lp_9223_55241.spec.fits,55241,G395M,F290LP,jw09223001002_03101_00001_nrs2_f290lp_g395m_raw.18.9223_55241.fits,glimpse-obs02-v4,176918,3.0,1.0,81.8,5.50025,8.81202212242987,738.5066,318.5493,,81.8114506870196,47.0685111278893,69.18585881789078,True,81.8114506870196,oiii_5007,1,0.6273843417826054,https://s3.amazonaws.com/msaexp-nirspec/extractions/glimpse-obs02-v4/glimpse-obs02-v4_g395m-f290lp_9223_55241.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/glimpse-obs02-v4/glimpse-obs02-v4_g395m-f290lp_9223_55241.spec.fits,local_existing,0.3651777258619422,success,oiii_5007,39.85504343215329,15.990418213673232,21.800561443325034,1000.0,127.3101350723384,grating_fallback_G395M,3.2552390719974595,52.865090759212066,14,False,screened_out,0.4012144219813563
aurora-gdn02-v4_g395m-f290lp_1914_100067.spec.fits,100067,G395M,F290LP,jw01914002001_11101_00001_nrs1_f290lp_g395m_raw.49.1914_100067.fits,aurora-gdn02-v4,160385,3.0,1.0,81.3,5.188221633333334,9.217413242874589,1665.6675,562.60175,,81.33663632370768,41.85167651298808,78.00951081738627,True,81.33663632370768,oiii_5007,1,0.6666373380863247,https://s3.amazonaws.com/msaexp-nirspec/extractions/aurora-gdn02-v4/aurora-gdn02-v4_g395m-f290lp_1914_100067.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/aurora-gdn02-v4/aurora-gdn02-v4_g395m-f290lp_1914_100067.spec.fits,local_existing,0.47138723327516796,success,oiii_5007,42.84060971022109,6.437366892785096,52.071085665752925,1000.0,127.3101350723384,grating_fallback_G395M,3.0991520254586353,7.726227021924964,14,True,pass,0.15026319504620037
jades-gds-wide2-v4_g395m-f290lp_1180_9924.spec.fits,9924,G395M,F290LP,jw01180135001_0310f_00001_nrs1_f290lp_g395m_raw.620.1180_9924.fits,jades-gds-wide2-v4,172082,3.0,1.0,80.7,5.52180586,9.191301874656187,265.0818,78.827225,,80.6835111568831,23.364959194061637,50.926564979832676,True,80.6835111568831,oiii_5007,1,0.6550682434570297,https://s3.amazonaws.com/msaexp-nirspec/extractions/jades-gds-wide2-v4/jades-gds-wide2-v4_g395m-f290lp_1180_9924.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/jades-gds-wide2-v4/jades-gds-wide2-v4_g395m-f290lp_1180_9924.spec.fits,local_existing,0.5267036728292331,success,oiii_5007,70.29045637289626,7.247057286177829,42.856386517583225,1000.0,127.3101350723384,grating_fallback_G395M,3.2662080781996874,1.0726683384065998,14,True,pass,0.10310158249267347
macs1149-stiavelli-v4_g395m-f290lp_1199_3.spec.fits,3,G395M,F290LP,jw01199023001_03101_00001_nrs1_f290lp_g395m_raw.138.1199_3.fits,macs1149-stiavelli-v4,173166,3.0,1.0,79.7,9.110503,9.166021466563807,,262.87628,,79.72712096121876,34.86014106568938,,False,79.72712096121876,oiii_5007,1,0.5721901297911253,https://s3.amazonaws.com/msaexp-nirspec/extractions/macs1149-stiavelli-v4/macs1149-stiavelli-v4_g395m-f290lp_1199_3.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/macs1149-stiavelli-v4/macs1149-stiavelli-v4_g395m-f290lp_1199_3.spec.fits,local_existing,,success,oiii_5007,5.000000000000001,285.0128824075832,11.41788370256788,1000.0,127.3101350723384,grating_fallback_G395M,5.064148501731064,72.70005241537145,14,False,screened_out,57.002576481516634
jades-gds08-v4_g395h-f290lp_1286_30148179.spec.fits,30148179,G395H,F290LP,jw01286008001_17101_00001_nrs1_f290lp_g395h_raw.441.1286_30148179.fits,jades-gds08-v4,172440,3.0,1.0,79.5,5.922328116666667,9.360542905425595,,217.72997,,79.52619543926185,25.555592723632888,,False,79.52619543926185,oiii_5007,2,0.6650150501172426,https://s3.amazonaws.com/msaexp-nirspec/extractions/jades-gds08-v4/jades-gds08-v4_g395h-f290lp_1286_30148179.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/jades-gds08-v4/jades-gds08-v4_g395h-f290lp_1286_30148179.spec.fits,local_existing,,success,oiii_5007,84.12328832809396,1.4508564442845988,65.21207116340612,2700.0,47.151901878643855,grating_fallback_G395H,3.466168511639639,1.2755080382490611,37,True,pass,0.017246787104018474
macs1149-stiavelli-v4_g395m-f290lp_1199_60001.spec.fits,60001,G395M,F290LP,jw01199021001_03101_00001_nrs1_f290lp_g395m_raw.126.1199_60001.fits,macs1149-stiavelli-v4,151402,3.0,1.0,78.2,5.685190000000001,9.874948302722457,1146.5981,410.18533,,78.15604184675031,36.80219066100696,68.2115098100759,True,78.15604184675031,oiii_5007,1,0.796715324334486,https://s3.amazonaws.com/msaexp-nirspec/extractions/macs1149-stiavelli-v4/macs1149-stiavelli-v4_g395m-f290lp_1199_60001.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/macs1149-stiavelli-v4/macs1149-stiavelli-v4_g395m-f290lp_1199_60001.spec.fits,local_existing,0.44643109371773076,success,oiii_5007,35.38185299566236,7.949595056581861,58.077583904192934,1000.0,127.3101350723384,grating_fallback_G395M,3.34792221702259,3.06603386127286,14,True,pass,0.22468000920009593
glimpse-obs01b-v4_g395m-f290lp_9223_47397.spec.fits,47397,G395M,F290LP,jw09223001001_11101_00001_nrs1_f290lp_g395m_raw.209.9223_47397.fits,glimpse-obs01b-v4,179748,3.0,1.0,78.1,5.534804133333334,8.45402776577836,0.0,206.69116,,78.12924103856159,36.177871113403654,,False,78.12924103856159,oiii_5007,1,0.6127332277093774,https://s3.amazonaws.com/msaexp-nirspec/extractions/glimpse-obs01b-v4/glimpse-obs01b-v4_g395m-f290lp_9223_47397.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/glimpse-obs01b-v4/glimpse-obs01b-v4_g395m-f290lp_9223_47397.spec.fits,local_existing,,success,oiii_5007,5.000667460939967,54.770922570371596,51.16218801255521,1000.0,127.3101350723384,grating_fallback_G395M,3.272706356514853,6.9706477528213915,14,False,screened_out,10.952722411195165
glimpse-obs01b-v4_g395m-f290lp_9223_14499.spec.fits,14499,G395M,F290LP,jw09223001001_11101_00001_nrs1_f290lp_g395m_raw.215.9223_14499.fits,glimpse-obs01b-v4,179776,3.0,1.0,77.3,6.107724118762471,9.321206283197894,0.0,230.39664,,77.27950842068199,31.04598605524406,,False,77.27950842068199,oiii_5007,1,0.6550184944947727,https://s3.amazonaws.com/msaexp-nirspec/extractions/glimpse-obs01b-v4/glimpse-obs01b-v4_g395m-f290lp_9223_14499.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/glimpse-obs01b-v4/glimpse-obs01b-v4_g395m-f290lp_9223_14499.spec.fits,local_existing,,success,oiii_5007,42.02553685643923,16.50215682867196,22.67058982586897,1000.0,127.3101350723384,grating_fallback_G395M,3.5587229913545464,25.286880203909217,15,True,pass,0.3926697447088881
gds-deep-v4_g395h-f290lp_1210_13176.spec.fits,13176,G395H,F290LP,jw01210001002_15101_00001_nrs1_f290lp_g395h_raw.264.1210_13176.fits,gds-deep-v4,172284,3.0,1.0,77.0,5.934363349999999,7.808119454930873,,211.94283,,77.01647418244389,45.58217830738388,,False,77.01647418244389,oiii_5007,2,0.5926227499866842,https://s3.amazonaws.com/msaexp-nirspec/extractions/gds-deep-v4/gds-deep-v4_g395h-f290lp_1210_13176.spec.fits,/Users/matthewsmawfield/www/Temporal Equivalence Principle/TEP-JWST/data/raw/dja_specfits/gds-deep-v4/gds-deep-v4_g395h-f290lp_1210_13176.spec.fits,local_existing,,success,oiii_5007,55.29977244840648,2.2460021885122248,38.50753226492197,2700.0,47.151901878643855,grating_fallback_G395H,3.473386610895784,6.873485682453205,24,True,pass,0.04061503491009294
