id,ra,dec,z_spec,z_phot,z_16,z_84,log_Mstar,log_Mstar_16,log_Mstar_84,mwa,mwa_16,mwa_84,met,met_16,met_84,dust,dust_16,dust_84,sfr100,ssfr100,sfr10,ssfr10,chi2,use_phot,met_err,log_Mh,log_Mh_simple,t_cosmic,age_ratio,log_ssfr
204,3.585093406388416,-30.466632244941454,,5.351630168478185,5.238845904885874,5.522138087824886,9.394854839128625,9.018039011537002,9.684054006956474,0.2012771494189348,0.07891069738170405,0.38501913151728306,-0.7347227535947334,-1.2590799223645412,-0.3422120500970214,0.1781121688809971,0.0561627516090788,0.28926756142847565,10.465528811915865,5.130529292383656e-09,15.209440446948458,5.668059447877591e-09,735.2750850732398,0,0.45843393613375993,11.116758814617578,11.394854839128625,1.0749937339064384,0.18723564898142267,-8.28983782847417
219,3.5918715506148264,-30.466599258437363,,6.6356748775847425,6.609403275178887,6.656853386240421,8.676146876894515,8.517407149277872,8.812403195520181,0.12479847214974278,0.07646389795733322,0.18549279595320425,-1.4948794619915446,-1.7743065012553305,-1.2253581308166477,0.36038232420727195,0.24410138605338624,0.4708702905300773,3.4056016885903473,7.5721705952492e-09,4.569474331438613,1.0406903910549222e-08,762.0999775865233,1,0.2744741852193414,10.261977820704729,10.676146876894515,0.8156804874540217,0.15299921239905526,-8.120779610273377
238,3.625254510549461,-30.46676122785115,,4.221925013796286,0.7526236074812326,4.465870374797243,8.239052021120143,7.981465901275958,8.582809761850218,0.1537086560693515,0.04647997478683239,1.7627444422857186,-0.7794203214451547,-1.1090382305724402,-0.25871978016274627,0.10518570582591732,0.06241784497258446,0.3266127088789611,1.7050207679865554,7.855500244410206e-09,3.8150917181496466,1.417236160184391e-08,142.08440693038105,1,0.42515922520484695,9.901860972542343,10.239052021120143,1.441035224206681,0.10666543987775955,-8.104826153530515
265,3.6450978129107585,-30.466398506396267,,4.597840526840749,4.2731523076753275,4.782273382623237,8.053022990754478,7.7703625297958565,8.283502489622071,0.143256121759821,0.0481723684177597,0.25558367878267646,-1.3591395954407495,-1.720991506376052,-0.9974920915174748,0.18175518303053817,0.10676349693063125,0.29672817533080587,0.776647709119983,7.649305866707634e-09,1.5927990764677575,1.4382044865077373e-08,40.81999072507135,1,0.3617497074292886,9.678433263487888,10.053022990754478,1.2987891728370606,0.11029975053371743,-8.116377972942594
299,3.6021579240787,-30.46644855395543,,7.583136327978352,7.56595014030378,7.596717742017726,8.430460904633248,8.294967062839966,8.577729269182521,0.051171302414327206,0.025336091156506063,0.09164817865183914,-1.5733813623507047,-1.817624364812641,-1.3401719262702534,0.09492011925361699,0.05327629513466213,0.14807353048892763,2.6723816686055883,1.0260678238758994e-08,6.801384986805798,2.5485647999558224e-08,726.4699155976381,1,0.23872621927119375,9.944350178697656,10.430460904633248,0.6843470747352809,0.07477390392020203,-7.988823931074586
322,3.6148282425297897,-30.466175584938455,,4.650887708450848,4.493375567852953,4.8216921760196705,8.259044974129665,8.049611287238717,8.493608502983017,0.20578913117544803,0.09682502616410904,0.3395399328579752,-0.8522830508632646,-1.2905690075375067,-0.5453556317238686,0.32271883712291144,0.16794174903350298,0.5603354197122441,0.9515487352446845,5.87404001820068e-09,1.3211358423268729,7.46212580355332e-09,150.27790058305047,1,0.37260668790681906,9.902405086120089,10.259044974129665,1.2805929675638286,0.1606983142871202,-8.23106309907564
433,3.5889880091510253,-30.465670831853625,,6.931310791336564,1.5456217155051444,7.06745572398352,8.023781288606017,7.741669492727481,8.199105362825925,0.1241148955297568,0.06962826201607737,0.8068521821070188,-1.4987448494246178,-1.7702393482527596,-1.1223287839465461,0.0426685245269397,0.0164978951704442,0.13647239247406628,0.9025227065767827,8.109852978614616e-09,1.652110342357026,1.2720189626385834e-08,254.47488335060513,1,0.32395528215310676,9.52959387789979,10.023781288606017,0.7704863240206847,0.16108643548931412,-8.090987018927581
444,3.5943454031012965,-30.465774521094964,,6.684022861080415,6.612506546662317,6.817562663686523,9.587475763050882,9.510542839079863,9.668014131554893,0.18077527933100834,0.10376238277188449,0.21219939195416074,-1.3770905675924872,-1.6187341913797595,-1.136959118861279,0.09909714512565079,0.029342884951031305,0.3138794403287751,15.973565824756129,4.2985778793683995e-09,3.486622722643262,8.639135649045984e-10,1028.5013699402996,1,0.2408875362592402,11.26202219630195,11.587475763050882,0.8079922693747082,0.22373392194817324,-8.366675200535925
456,3.6183326165597802,-30.465607530346187,,7.580495028648944,7.232101591846956,7.921332182000806,8.329442304654323,8.100998593251735,8.563162377343827,0.1534006475587783,0.0725117859911627,0.29124496290622814,-0.4958100585539946,-1.052522749452919,-0.06456879405635715,0.06982731537945584,0.019475459782058665,0.18126338964502736,1.2127361670100578,6.389169664641632e-09,2.111442520581212,9.628733554786515e-09,30.159024297420615,1,0.4939769776982809,9.833361783687309,10.329442304654323,0.6846633877455597,0.22405265171822847,-8.19455557900837
508,3.6153721806452097,-30.46582743731389,,4.9855468455928635,4.859133334065461,5.482884636957697,10.017548921911553,9.93167509321411,10.136981443244878,0.33052519196486724,0.2681596976796717,0.3971742174361848,-0.49251385808517323,-0.6150803276891011,-0.3584544893341154,1.347569929504384,1.1792660423079204,1.53470570403506,27.765281409952653,2.6164198543453674e-09,27.302185195198216,2.531450892020443e-09,386.6145238201005,1,0.12831291917749288,11.820026471823065,12.017548921911553,1.1749407574813393,0.2813122192419278,-8.5822925639431
511,3.6146566358806282,-30.465869406904556,,4.687672869045862,4.572356127050866,4.765094456316734,8.176589709179378,8.004383790117163,8.353907057691215,0.10801872048642391,0.04719386485239776,0.2107574465520523,-1.2412859894834143,-1.5928482603281062,-0.9921397012685262,0.13162985965424465,0.07690727812158614,0.20875732834000185,1.249936459399665,8.765578228963197e-09,2.481196108650123,1.6912043455031423e-08,251.39025491672905,1,0.30035427952979,9.809865036645023,10.176589709179378,1.2682218756974406,0.0851733616619888,-8.057219430013417
577,3.6091734287782904,-30.46577119474213,,5.159303318366838,5.139273297045405,5.177816502732963,8.499486965673375,8.363082728729959,8.621960351829843,0.06756409336216211,0.03041856207543688,0.13614813908340728,-1.435451568210517,-1.69692514712232,-1.2510379577355377,0.12718841873041797,0.1073800192976693,0.16552921653612782,3.026100659857592,9.966532803879627e-09,7.211856425077589,2.2993630780121568e-08,478.4241107841643,1,0.2229435946933911,10.14147049632237,10.499486965673375,1.1256602523324413,0.06002174565741743,-8.001455899464814
684,3.597471660517766,-30.464875776055287,,4.893493282092339,4.750345216345726,5.3496386275126815,8.563730554835775,8.435404064281386,8.681834090186255,0.2007565339338738,0.13586129463814564,0.3310945979015312,-0.731960422878157,-0.9995841459043417,-0.31792348909090196,0.07821924241764514,0.02179095634797934,0.1798016343961928,1.8066026142436225,5.136246285957385e-09,0.34279370738117,9.059333784028381e-10,285.492360662924,1,0.3408303284067199,10.225428946214736,10.563730554835775,1.202519414615118,0.1669466051806977,-8.289354159770237
779,3.597839003555665,-30.464622917926356,,4.962473930091914,4.931739868830404,5.005230474681089,8.228742148937831,7.985200767552395,8.485585341349816,0.16131601170063592,0.06805299256130797,0.2726679190185197,-1.159310544321691,-1.6009296082882933,-0.8098346343443046,0.07685696522084308,0.034022002859108794,0.13148515061479882,1.1241917372776538,7.047471309350583e-09,1.5653826691272184,9.295859227836112e-09,425.1885286005717,1,0.3955474869719944,9.85349266732702,10.228742148937831,1.1817539469786758,0.13650558317411468,-8.15196668348986
834,3.6145222423812924,-30.464404358973272,,4.587201466407573,4.447566181718611,4.7106665610492655,8.619093650749184,8.472555638096827,8.829869005604493,0.14117976783864095,0.06462536869131229,0.3128552320303584,-0.7907854502455977,-0.9798885944560334,-0.6429748192631629,0.15361483504507206,0.08380852571794122,0.25095779700647913,2.9847314369574756,7.270994559126686e-09,5.240001138231265,1.2986011472568143e-08,386.44725955594316,1,0.16845688759643523,10.301642942503724,10.619093650749184,1.302490257357015,0.10839218722842493,-8.138406180337862
947,3.631313729504728,-30.46393019492245,,4.310647587353038,4.030355008651158,4.56153780421186,8.272626529790145,8.088428506098802,8.484205928120074,0.16432414217195315,0.08927829099250852,0.2683337054114164,-1.4670517886566623,-1.7831199052714792,-1.1030304815917802,0.05909285951227028,0.022841271891835633,0.11485378468066225,1.2003658199912781,6.626997314566071e-09,1.4369390590156874,7.740298692209164e-09,90.18802250366072,1,0.3400447118398495,9.934356803401508,10.272626529790145,1.405205453275689,0.11693958473395862,-8.178683205396434
