id,ra,dec,z_spec,z_phot,z_16,z_84,log_Mstar,log_Mstar_16,log_Mstar_84,mwa,mwa_16,mwa_84,met,met_16,met_84,dust,dust_16,dust_84,sfr100,ssfr100,sfr10,ssfr10,chi2,use_phot,log_Mh,log_Mh_simple,t_cosmic,age_ratio,log_ssfr
23,3.611107825255852,-30.467261841664463,,4.839269945649502,1.8080979792253336,13.048880132471137,8.533699951452492,7.831378077526842,9.219612350925447,0.20620619390425693,0.056840494954293816,0.8805806857158631,-0.62920549416454,-1.3996003284711955,-0.09195967922373446,0.7168705794522197,0.3153032616018645,1.444963763420015,1.3964051854411308,5.722220186889886e-09,1.7532556997093318,6.429407839982562e-09,13.31026984759432,1,10.195106449315267,10.533699951452492,1.2192713659804437,0.16912247729072344,-8.242435434871995
68,3.6088479632358097,-30.467124299011985,,4.802149798217032,4.524559872789639,4.8883726259673494,8.518343716038112,8.04136742431298,8.667848370820705,0.22555403527596266,0.13037609063476546,0.3173803964568689,-1.5977847369435159,-1.8330838344314733,-0.684561894046731,0.07341091635425165,0.019812719661123687,0.20090589733320147,1.2802891600199775,4.888693388115603e-09,0.626487123217144,1.8575801712603032e-09,192.89380672810347,1,10.180070597731072,10.518343716038112,1.2309640575351015,0.18323364837119208,-8.310807200213192
163,3.6221576057992015,-30.466762331595227,,7.125229634067032,5.958437264871858,9.423785200040868,8.666426510991736,8.34368517620924,9.028942356318925,0.1442335522839099,0.04308843034530899,0.3064975501633765,-0.8012837789476516,-1.5012046926793112,-0.16942656859657013,1.1238512444427058,0.6296947374349071,1.7444045349256665,2.4129056397246442,6.803979668077036e-09,3.5305860278053056,9.363350399777153e-09,20.492222176468957,1,10.226807680387557,10.666426510991736,0.7430536801483931,0.194109195792026,-8.167236992833594
165,3.6137132089604997,-30.46679816280766,,4.41570644408825,1.0514679036528514,4.7312369923635345,8.111944812838905,7.741066617167619,8.497151001808824,0.22289549184719198,0.08869657937137469,1.1777434400108255,-1.0104246622389916,-1.5453930343245657,-0.3467817707796425,0.4382122744678547,0.19643308794719122,0.9964501705290524,0.8289054739033965,5.995527178324163e-09,1.243633511902576,8.074003443533177e-09,29.29698466138471,1,9.752353971918383,10.111944812838905,1.3646516980865582,0.16333507821792487,-8.222172623979443
167,3.5991337487221267,-30.4668153969574,,4.970252627091132,4.887225089762723,5.441477916316786,8.499597041859145,8.234007635721422,8.719253428005077,0.19213431396606678,0.09176077216921666,0.30347196919159425,-0.5008534601537074,-1.039550465450652,-0.005788105533741872,0.09022615188721536,0.02955095219758308,0.2670175571876696,1.338135310305804,6.281899453016429e-09,1.3078896890327434,4.1595207037346e-09,356.6011406089914,1,10.151044114690503,10.499597041859145,1.1794496665607428,0.1629016645757572,-8.201909019123379
200,3.5871158389788267,-30.466612462388134,,5.839879159963906,0.849853823752046,7.006700803334301,8.320806395343705,7.601407012629604,8.701545401632432,0.1393117733248006,0.06350016701338286,1.4242382856585398,-1.0611039612749413,-1.6065035768421532,-0.4120103085677237,0.1283962137429247,0.028611147846207115,0.4044744124923983,1.701068771691947,7.44379609773711e-09,2.9265076767610587,8.063239485689009e-09,74.81124886251436,1,9.91089307687988,10.320806395343705,0.9620692242007862,0.14480431326605442,-8.128205531677818
204,3.585093406388416,-30.466632244941454,,5.351630168478185,5.238845904885874,5.522138087824886,9.394854839128625,9.018039011537002,9.684054006956474,0.2012771494189348,0.07891069738170405,0.38501913151728306,-0.7347227535947334,-1.2590799223645412,-0.3422120500970214,0.1781121688809971,0.0561627516090788,0.28926756142847565,10.465528811915865,5.130529292383656e-09,15.209440446948458,5.668059447877591e-09,735.2750850732398,0,11.116758814617578,11.394854839128625,1.0749937339064384,0.18723564898142267,-8.28983782847417
219,3.5918715506148264,-30.466599258437363,,6.6356748775847425,6.609403275178887,6.656853386240421,8.676146876894515,8.517407149277872,8.812403195520181,0.12479847214974278,0.07646389795733322,0.18549279595320425,-1.4948794619915446,-1.7743065012553305,-1.2253581308166477,0.36038232420727195,0.24410138605338624,0.4708702905300773,3.4056016885903473,7.5721705952492e-09,4.569474331438613,1.0406903910549222e-08,762.0999775865233,1,10.261977820704729,10.676146876894515,0.8156804874540217,0.15299921239905526,-8.120779610273377
220,3.591715143229118,-30.466562528502834,,6.896843688280427,6.733986130513433,7.021766015380775,8.864674905625588,8.662809331076511,9.119767286077396,0.19299805599106684,0.12833305106449044,0.30799551333465763,-0.4592481102528121,-1.141150744677495,-0.07541236699294991,0.19106867129144461,0.05240358066781481,0.32365404103155687,3.090455218712693,4.571570300231564e-09,3.5680140804574867,3.982243022500846e-09,841.0350265934344,1,10.456300211774126,10.864674905625588,0.7755385601449131,0.24885681500479387,-8.33993459739496
238,3.625254510549461,-30.46676122785115,,4.221925013796286,0.7526236074812326,4.465870374797243,8.239052021120143,7.981465901275958,8.582809761850218,0.1537086560693515,0.04647997478683239,1.7627444422857186,-0.7794203214451547,-1.1090382305724402,-0.25871978016274627,0.10518570582591732,0.06241784497258446,0.3266127088789611,1.7050207679865554,7.855500244410206e-09,3.8150917181496466,1.417236160184391e-08,142.08440693038105,1,9.901860972542343,10.239052021120143,1.441035224206681,0.10666543987775955,-8.104826153530515
265,3.6450978129107585,-30.466398506396267,,4.597840526840749,4.2731523076753275,4.782273382623237,8.053022990754478,7.7703625297958565,8.283502489622071,0.143256121759821,0.0481723684177597,0.25558367878267646,-1.3591395954407495,-1.720991506376052,-0.9974920915174748,0.18175518303053817,0.10676349693063125,0.29672817533080587,0.776647709119983,7.649305866707634e-09,1.5927990764677575,1.4382044865077373e-08,40.81999072507135,1,9.678433263487888,10.053022990754478,1.2987891728370606,0.11029975053371743,-8.116377972942594
299,3.6021579240787,-30.46644855395543,,7.583136327978352,7.56595014030378,7.596717742017726,8.430460904633248,8.294967062839966,8.577729269182521,0.051171302414327206,0.025336091156506063,0.09164817865183914,-1.5733813623507047,-1.817624364812641,-1.3401719262702534,0.09492011925361699,0.05327629513466213,0.14807353048892763,2.6723816686055883,1.0260678238758994e-08,6.801384986805798,2.5485647999558224e-08,726.4699155976381,1,9.944350178697656,10.430460904633248,0.6843470747352809,0.07477390392020203,-7.988823931074586
301,3.646570828645066,-30.466190339186234,,6.53027077453336,3.2554591314341628,16.01978112762271,8.400526150752723,7.842170075855882,8.994073064892799,0.1291590539761776,0.03979012118429505,0.45917812483249765,-0.7356336682741696,-1.432463816815471,-0.12528705397226983,0.8897968732006273,0.4001134194307423,1.6512031468724515,1.236152308922116,7.532636839305535e-09,1.6653477578081304,9.560763422928668e-09,7.509294995668283,1,9.964065227101328,10.400526150752723,0.8328695558555921,0.15507717033010626,-8.123052970107244
322,3.6148282425297897,-30.466175584938455,,4.650887708450848,4.493375567852953,4.8216921760196705,8.259044974129665,8.049611287238717,8.493608502983017,0.20578913117544803,0.09682502616410904,0.3395399328579752,-0.8522830508632646,-1.2905690075375067,-0.5453556317238686,0.32271883712291144,0.16794174903350298,0.5603354197122441,0.9515487352446845,5.87404001820068e-09,1.3211358423268729,7.46212580355332e-09,150.27790058305047,1,9.902405086120089,10.259044974129665,1.2805929675638286,0.1606983142871202,-8.23106309907564
353,3.6345420546940534,-30.465968933193867,,5.097029552390853,1.4650296583548095,16.067697753127096,8.884811427498832,8.206437895193849,9.373345850465618,0.1361530437194352,0.03230156028804448,1.0856469604433654,-0.6566571422746019,-1.3679612458855988,-0.11604683894783202,0.40443825930572275,0.0866778094488665,1.2298108637626868,4.068506842743509,7.09345216717273e-09,5.8375162649832655,1.002182308884871e-08,9.982717494283477,1,10.568441092629172,10.884811427498832,1.1429210562463938,0.11912725115642894,-8.149142355469525
399,3.645221395236108,-30.465779597270735,,6.071092697078184,2.66586851731924,15.703763313286936,8.703666843305733,8.149707267968932,9.334080732117537,0.14445399723909882,0.039552715973474366,0.5783336105495388,-0.6675230042062067,-1.3466388672290157,-0.06979754698542982,0.7697386395773453,0.31061591623899565,1.4034227507157548,2.546279505311883,6.632023349965398e-09,3.438191341004486,7.812957904641408e-09,3.4938968750494728,1,10.320478892782397,10.703666843305733,0.915291160767263,0.15782300040787794,-8.178353953395167
406,3.6471287474370095,-30.465729892496615,,5.122651997998046,1.4536169632123712,12.46925820371932,8.463288727618718,7.688074465640563,9.107145367587266,0.16783766016635748,0.04911714889613002,1.012070467923593,-0.7570880535590041,-1.4572471498898856,-0.14361659089498752,0.6364703353012717,0.2044110231719274,1.3836029018236284,1.406884328910815,5.647658797132978e-09,1.8032755814706938,6.580898204245922e-09,5.856280392165235,1,10.103485000480687,10.463288727618718,1.1357662626853628,0.14777482452201782,-8.248131549031056
409,3.644881080562265,-30.465698639893205,,6.113268976464072,2.1756625539779897,17.8788654486156,8.299965183999552,7.7147139289137865,8.917471578176052,0.1141498657467657,0.029768807057719632,0.7015903568161587,-0.72569335785391,-1.456664047571369,-0.12660006566405782,0.527891068673132,0.13203454540750864,1.2367726373413233,1.1675572077652427,7.88778825233146e-09,1.7399796176789109,9.909732760102945e-09,4.496129068510744,1,9.874298253576303,10.299965183999552,0.9071652609591332,0.12583139000062307,-8.103044756545335
423,3.64724544607035,-30.465653606259,,9.669398969427604,2.9673207875670236,17.588607941916276,8.836839094755742,8.328518382316169,9.521428371560555,0.0898186637000104,0.030623934329019983,0.4731519172293935,-0.7788073478185555,-1.4403867069637595,-0.1504421356860547,0.5132305640175568,0.1286601977715206,1.1137327803928272,4.979087821311417,8.255239598942572e-09,8.08731511286864,1.0558713823354495e-08,3.252556962557085,1,10.287053055759936,10.836839094755742,0.4935412125757187,0.1819881732495247,-8.08327031731475
431,3.644732902447175,-30.465616461528345,,4.95758788940591,1.5112616977248183,18.037240327693453,8.068759408795794,7.3875093387565,8.648763318684566,0.1363351407457351,0.031649031330672144,1.0632252905853334,-0.8003180600553464,-1.4844545079596787,-0.207884291815228,0.43321572001564007,0.08412311839624101,1.0603767538042081,0.6241139962528715,6.972879921711863e-09,0.9011987405289149,9.022215516455467e-09,3.470226273044954,1,9.677755955205077,10.068759408795794,1.1832051613025374,0.11522527555208589,-8.15658781361151
433,3.5889880091510253,-30.465670831853625,,6.931310791336564,1.5456217155051444,7.06745572398352,8.023781288606017,7.741669492727481,8.199105362825925,0.1241148955297568,0.06962826201607737,0.8068521821070188,-1.4987448494246178,-1.7702393482527596,-1.1223287839465461,0.0426685245269397,0.0164978951704442,0.13647239247406628,0.9025227065767827,8.109852978614616e-09,1.652110342357026,1.2720189626385834e-08,254.47488335060513,1,9.52959387789979,10.023781288606017,0.7704863240206847,0.16108643548931412,-8.090987018927581
