id,ra,dec,z_spec,z_phot,z_16,z_84,log_Mstar,log_Mstar_16,log_Mstar_84,mwa,mwa_16,mwa_84,met,met_16,met_84,dust,dust_16,dust_84,sfr100,ssfr100,sfr10,ssfr10,chi2,use_phot,met_err,log_Mh,log_Mh_simple,t_cosmic,age_ratio,log_ssfr,response_z,gamma_t,t_eff,n_ml,ml_bias,log_Mstar_true
204,3.585093406388416,-30.466632244941454,,5.351630168478185,5.238845904885874,5.522138087824886,9.394854839128625,9.018039011537002,9.684054006956474,0.2012771494189348,0.078910697381704,0.385019131517283,-0.7347227535947334,-1.2590799223645412,-0.3422120500970214,0.1781121688809971,0.0561627516090788,0.2892675614284756,10.465528811915863,5.130529292383656e-09,15.209440446948458,5.668059447877591e-09,735.2750850732398,0,0.4584339361337599,11.116758814617578,11.394854839128625,1.0749937339064384,0.1872356489814226,-8.28983782847417,2419434.3064587424,0.6851834191140881,0.7365678821242336,0.9,0.7115839770128692,9.542628678768507
219,3.5918715506148264,-30.466599258437363,,6.6356748775847425,6.609403275178887,6.656853386240421,8.676146876894515,8.517407149277872,8.812403195520181,0.1247984721497427,0.0764638979573332,0.1854927959532042,-1.4948794619915446,-1.7743065012553303,-1.2253581308166477,0.3603823242072719,0.2441013860533862,0.4708702905300773,3.4056016885903473,7.5721705952492e-09,4.569474331438613,1.0406903910549222e-08,762.0999775865233,1,0.2744741852193414,10.261977820704727,10.676146876894515,0.8156804874540217,0.1529992123990552,-8.120779610273377,2652741.594498435,0.5946946945277901,0.48508085831874836,0.5,0.7711645054900997,8.788999844880106
238,3.625254510549461,-30.46676122785115,,4.221925013796286,0.7526236074812326,4.465870374797243,8.239052021120143,7.981465901275958,8.582809761850218,0.1537086560693515,0.0464799747868323,1.7627444422857186,-0.7794203214451547,-1.1090382305724402,-0.2587197801627462,0.1051857058259173,0.0624178449725844,0.3266127088789611,1.7050207679865554,7.855500244410206e-09,3.815091718149646,1.4172361601843912e-08,142.08440693038105,1,0.4251592252048469,9.901860972542345,10.239052021120145,1.441035224206681,0.1066654398777595,-8.104826153530515,2193747.043921577,0.641854464502734,0.9249348921627565,0.9,0.6709542523729004,8.412359111412137
265,3.6450978129107585,-30.466398506396267,,4.597840526840749,4.2731523076753275,4.782273382623237,8.053022990754478,7.770362529795856,8.283502489622071,0.143256121759821,0.0481723684177597,0.2555836787826764,-1.3591395954407497,-1.720991506376052,-0.9974920915174748,0.1817551830305381,0.1067634969306312,0.2967281753308058,0.776647709119983,7.649305866707634e-09,1.5927990764677575,1.4382044865077373e-08,40.81999072507135,1,0.3617497074292886,9.678433263487888,10.053022990754478,1.2987891728370606,0.1102997505337174,-8.116377972942594,2271336.5733718183,0.6283746633541524,0.816126209249506,0.9,0.6582589898914399,8.234626191744189
299,3.6021579240787,-30.46644855395543,,7.583136327978352,7.56595014030378,7.596717742017726,8.430460904633248,8.294967062839966,8.577729269182521,0.0511713024143272,0.025336091156506,0.0916481786518391,-1.5733813623507047,-1.817624364812641,-1.3401719262702534,0.0949201192536169,0.0532762951346621,0.1480735304889276,2.6723816686055883,1.0260678238758994e-08,6.801384986805798,2.5485647999558224e-08,726.4699155976381,1,0.2387262192711937,9.944350178697656,10.430460904633248,0.6843470747352809,0.074773903920202,-7.988823931074586,2812511.0559542426,0.5673021458160572,0.38823156398026654,0.5,0.7531946267838461,8.553553691491555
322,3.6148282425297897,-30.466175584938455,,4.650887708450848,4.493375567852953,4.8216921760196705,8.259044974129665,8.049611287238717,8.493608502983017,0.205789131175448,0.096825026164109,0.3395399328579752,-0.8522830508632646,-1.2905690075375067,-0.5453556317238686,0.3227188371229114,0.1679417490335029,0.5603354197122441,0.9515487352446844,5.8740400182006805e-09,1.3211358423268729,7.462125803553321e-09,150.27790058305047,1,0.372606687906819,9.902405086120089,10.259044974129663,1.2805929675638286,0.1606983142871202,-8.23106309907564,2282073.204809237,0.6305077146394967,0.8074237453620807,0.9,0.6602696946875092,8.439323609814442
433,3.5889880091510253,-30.465670831853625,,6.931310791336564,1.5456217155051444,7.06745572398352,8.023781288606017,7.741669492727481,8.199105362825925,0.1241148955297568,0.0696282620160773,0.8068521821070188,-1.4987448494246178,-1.7702393482527596,-1.122328783946546,0.0426685245269397,0.0164978951704442,0.1364723924740662,0.9025227065767828,8.109852978614616e-09,1.652110342357026,1.2720189626385834e-08,254.47488335060513,1,0.3239552821531067,9.52959387789979,10.023781288606015,0.7704863240206847,0.1610864354893141,-8.090987018927581,2703607.964423795,0.573305325173654,0.44172391253453197,0.5,0.7571692843569752,8.144588300726884
444,3.5943454031012965,-30.465774521094964,,6.684022861080415,6.612506546662317,6.817562663686523,9.587475763050882,9.510542839079864,9.668014131554893,0.1807752793310083,0.1037623827718844,0.2121993919541607,-1.3770905675924872,-1.6187341913797595,-1.136959118861279,0.0990971451256507,0.0293428849510313,0.3138794403287751,15.973565824756127,4.298577879368399e-09,3.486622722643262,8.639135649045983e-10,1028.5013699402996,1,0.2408875362592402,11.26202219630195,11.587475763050882,0.8079922693747082,0.2237339219481732,-8.366675200535925,2661126.729182906,0.684020676906087,0.5526834190325733,0.5,0.8270554255345206,9.669941148060348
456,3.61833261655978,-30.465607530346187,,7.580495028648944,7.232101591846956,7.921332182000806,8.329442304654323,8.100998593251735,8.563162377343827,0.1534006475587783,0.0725117859911627,0.2912449629062281,-0.4958100585539946,-1.052522749452919,-0.0645687940563571,0.0698273153794558,0.0194754597820586,0.1812633896450273,1.2127361670100578,6.3891696646416325e-09,2.111442520581212,9.628733554786515e-09,30.159024297420615,1,0.4939769776982809,9.833361783687309,10.329442304654323,0.6846633877455597,0.2240526517182284,-8.19455557900837,2812078.2738755452,0.5651138531101886,0.3869127651323683,0.5,0.7517405490660914,8.453374327827555
508,3.6153721806452097,-30.46582743731389,,4.9855468455928635,4.859133334065461,5.482884636957697,10.017548921911551,9.93167509321411,10.136981443244878,0.3305251919648672,0.2681596976796717,0.3971742174361848,-0.4925138580851732,-0.6150803276891011,-0.3584544893341154,1.347569929504384,1.1792660423079204,1.53470570403506,27.765281409952653,2.616419854345367e-09,27.302185195198216,2.531450892020443e-09,386.6145238201005,1,0.1283129191774928,11.820026471823065,12.017548921911551,1.1749407574813393,0.2813122192419278,-8.5822925639431,2348676.217127083,0.8874921221986035,1.0427506663147486,0.9,0.8981483079823604,10.06420086584533
511,3.614656635880628,-30.465869406904556,,4.687672869045862,4.572356127050866,4.765094456316734,8.176589709179378,8.004383790117163,8.353907057691215,0.1080187204864239,0.0471938648523977,0.2107574465520523,-1.2412859894834145,-1.5928482603281062,-0.9921397012685262,0.1316298596542446,0.0769072781215861,0.2087573283400018,1.249936459399665,8.765578228963197e-09,2.481196108650123,1.6912043455031423e-08,251.39025491672905,1,0.30035427952979,9.809865036645023,10.176589709179378,1.2682218756974406,0.0851733616619888,-8.057219430013417,2289488.8766081976,0.627959822159281,0.7963923835214746,0.9,0.6578678637367698,8.358451037165333
577,3.6091734287782904,-30.46577119474213,,5.159303318366838,5.139273297045405,5.177816502732963,8.499486965673375,8.363082728729959,8.621960351829843,0.0675640933621621,0.0304185620754368,0.1361481390834072,-1.435451568210517,-1.69692514712232,-1.2510379577355375,0.1271884187304179,0.1073800192976693,0.1655292165361278,3.026100659857592,9.966532803879628e-09,7.211856425077589,2.2993630780121568e-08,478.4241107841643,1,0.2229435946933911,10.14147049632237,10.499486965673375,1.1256602523324413,0.0600217456574174,-8.001455899464814,2382522.5997263654,0.623350818349654,0.7016812394751053,0.9,0.6535205981792097,8.684227685104037
684,3.597471660517766,-30.464875776055287,,4.893493282092339,4.750345216345726,5.3496386275126815,8.563730554835775,8.435404064281386,8.681834090186255,0.2007565339338738,0.1358612946381456,0.3310945979015312,-0.731960422878157,-0.9995841459043416,-0.3179234890909019,0.0782192424176451,0.0217909563479793,0.1798016343961928,1.8066026142436225,5.136246285957385e-09,0.34279370738117,9.05933378402838e-10,285.492360662924,1,0.3408303284067199,10.225428946214736,10.563730554835775,1.202519414615118,0.1669466051806977,-8.289354159770237,2330545.7319641463,0.6322677799805211,0.7603142806621764,0.9,0.6619282948396527,8.742919608964243
