object_id,z,log_Mstar_obs,log_Mdyn,sigma_kms,re_kpc,source_survey,source_paper,is_upper_limit_mdyn,sigma_type,ml_response_sigma_only,gamma_t_sigma_only
1002030,5.18,9.48,10.5,122.0,1.37,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6258157940695911,0.6258157940695911
191250,5.39,10.17,10.8,39.0,2.45,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.60041162179198,0.60041162179198
1002222,5.29,9.47,9.91,73.0,0.98,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6060250761897576,0.6060250761897576
214966,5.54,9.54,10.4,108.0,1.41,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6095648304189909,0.6095648304189909
1025527,5.3,9.39,10.6,118.0,1.06,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6204016150372959,0.6204016150372959
1001674,5.18,9.92,11.0,199.0,1.6,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.7188025197321859,0.7188025197321859
201125,5.82,9.96,10.8,136.0,1.86,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6177389744007086,0.6177389744007086
1094616,4.06,9.4,11.0,187.0,1.35,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.7408920003944971,0.7408920003944971
1088814,4.41,10.6,10.6,87.0,2.39,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6322944640891108,0.6322944640891108
1087148,4.38,8.24,9.82,63.0,1.05,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6282745715153446,0.6282745715153446
1015956,4.02,9.54,9.08,32.0,1.4,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6361106371412913,0.6361106371412913
1085659,4.06,10.17,9.76,51.0,1.47,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6359851444397898,0.6359851444397898
1083165,4.15,9.78,10.3,111.0,1.12,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6494136398947314,0.6494136398947314
1065488,4.15,8.01,9.94,68.0,1.1,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6354783673333685,0.6354783673333685
1025101,4.91,8.99,10.8,142.0,1.19,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6478279228228369,0.6478279228228369
1077545,4.42,9.27,9.86,63.0,0.87,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6271734361244469,0.6271734361244469
1095186,4.02,9.37,10.3,76.0,1.92,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6407658728922434,0.6407658728922434
1091580,4.8,8.09,9.45,56.0,0.88,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.616234539482581,0.616234539482581
