id,ra,dec,z_spec,z_phot,z_16,z_84,log_Mstar,log_Mstar_16,log_Mstar_84,mwa,mwa_16,mwa_84,met,met_16,met_84,dust,dust_16,dust_84,sfr100,ssfr100,sfr10,ssfr10,chi2,use_phot,log_Mh,log_Mh_simple,t_cosmic,age_ratio,log_ssfr,alpha_z,gamma_t,t_eff,n_ml,ml_bias,log_Mstar_true
23,3.611107825255852,-30.467261841664463,,4.839269945649502,1.8080979792253336,13.048880132471137,8.533699951452492,7.831378077526842,9.219612350925448,0.2062061939042569,0.0568404949542938,0.8805806857158631,-0.62920549416454,-1.3996003284711955,-0.0919596792237344,0.7168705794522197,0.3153032616018645,1.444963763420015,1.3964051854411308,5.722220186889886e-09,1.7532556997093318,6.429407839982562e-09,13.31026984759432,1,10.195106449315269,10.533699951452492,1.2192713659804435,0.1691224772907234,-8.242435434871995,2319799.8150509843,0.9294195542599493,1.1332146494914632,0.9,0.9362474005497908,8.562309326543046
68,3.6088479632358097,-30.467124299011985,,4.802149798217032,4.524559872789639,4.8883726259673494,8.518343716038112,8.04136742431298,8.667848370820705,0.2255540352759626,0.1303760906347654,0.3173803964568689,-1.597784736943516,-1.8330838344314733,-0.684561894046731,0.0734109163542516,0.0198127196611236,0.2009058973332014,1.2802891600199775,4.888693388115603e-09,0.626487123217144,1.857580171260303e-09,192.89380672810347,1,10.180070597731072,10.518343716038112,1.2309640575351015,0.183233648371192,-8.310807200213192,2312414.5938902944,0.9289897360564018,1.1435529749044513,0.9,0.9358577133170419,8.547133891892514
163,3.6221576057992015,-30.466762331595227,,7.125229634067032,5.958437264871858,9.423785200040868,8.666426510991736,8.34368517620924,9.028942356318924,0.1442335522839099,0.0430884303453089,0.3064975501633765,-0.8012837789476516,-1.5012046926793112,-0.1694265685965701,1.1238512444427058,0.6296947374349071,1.7444045349256665,2.412905639724644,6.803979668077036e-09,3.5305860278053056,9.363350399777153e-09,20.492222176468957,1,10.226807680387555,10.666426510991736,0.7430536801483931,0.194109195792026,-8.167236992833594,2736459.68922551,0.9189325211001673,0.6828161916115203,0.5,0.9586096813094301,8.684784700233283
165,3.6137132089605,-30.46679816280766,,4.41570644408825,1.0514679036528514,4.7312369923635345,8.111944812838905,7.741066617167619,8.497151001808824,0.2228954918471919,0.0886965793713746,1.1777434400108255,-1.0104246622389916,-1.5453930343245657,-0.3467817707796425,0.4382122744678547,0.1964330879471912,0.9964501705290524,0.8289054739033965,5.995527178324163e-09,1.243633511902576,8.074003443533177e-09,29.29698466138471,1,9.752353971918383,10.111944812838903,1.3646516980865582,0.1633350782179248,-8.222172623979443,2234080.360880452,0.9184967465074408,1.2534281448083582,0.9,0.9263388108007788,8.145174952778115
167,3.5991337487221267,-30.4668153969574,,4.970252627091132,4.887225089762723,5.441477916316786,8.499597041859145,8.234007635721422,8.719253428005077,0.1921343139660667,0.0917607721692166,0.3034719691915942,-0.5008534601537074,-1.039550465450652,-0.0057881055337418,0.0902261518872153,0.029550952197583,0.2670175571876696,1.338135310305804,6.281899453016429e-09,1.3078896890327434,4.1595207037346e-09,356.6011406089914,1,10.151044114690505,10.499597041859143,1.1794496665607428,0.1629016645757572,-8.201909019123379,2345673.6390911643,0.9267847797136636,1.0930959994068519,0.9,0.9338583441306447,8.529316038250176
200,3.5871158389788267,-30.466612462388134,,5.839879159963906,0.849853823752046,7.006700803334301,8.320806395343705,7.601407012629604,8.701545401632432,0.1393117733248006,0.0635001670133828,1.4242382856585398,-1.061103961274941,-1.6065035768421532,-0.4120103085677237,0.1283962137429247,0.0286111478462071,0.4044744124923983,1.701068771691947,7.443796097737111e-09,2.9265076767610587,8.063239485689009e-09,74.81124886251436,1,9.91089307687988,10.320806395343704,0.9620692242007862,0.1448043132660544,-8.128205531677818,2510703.6132970243,0.9130893185294096,0.8784551323036136,0.9,0.921429126253857,8.356344459218445
204,3.585093406388416,-30.466632244941454,,5.351630168478185,5.238845904885874,5.522138087824886,9.394854839128625,9.018039011537002,9.684054006956474,0.2012771494189348,0.078910697381704,0.385019131517283,-0.7347227535947334,-1.2590799223645412,-0.3422120500970214,0.1781121688809971,0.0561627516090788,0.2892675614284756,10.465528811915863,5.130529292383656e-09,15.209440446948458,5.668059447877591e-09,735.2750850732398,0,11.116758814617578,11.394854839128625,1.0749937339064384,0.1872356489814226,-8.28983782847417,2419434.3064587424,1.0233074004495417,1.1000490433433439,0.9,1.020952421226399,9.385849335709981
219,3.5918715506148264,-30.466599258437363,,6.6356748775847425,6.609403275178887,6.656853386240421,8.676146876894515,8.517407149277872,8.812403195520181,0.1247984721497427,0.0764638979573332,0.1854927959532042,-1.4948794619915446,-1.7743065012553303,-1.2253581308166477,0.3603823242072719,0.2441013860533862,0.4708702905300773,3.4056016885903473,7.5721705952492e-09,4.569474331438613,1.0406903910549222e-08,762.0999775865233,1,10.261977820704727,10.676146876894515,0.8156804874540217,0.1529992123990552,-8.120779610273377,2652741.594498435,0.9231907807279555,0.7530287060372376,0.5,0.9608281744037044,8.693501147478162
220,3.591715143229118,-30.46656252850283,,6.896843688280427,6.733986130513433,7.021766015380775,8.864674905625588,8.662809331076511,9.119767286077396,0.1929980559910668,0.1283330510644904,0.3079955133346576,-0.4592481102528121,-1.141150744677495,-0.0754123669929499,0.1910686712914446,0.0524035806678148,0.3236540410315568,3.090455218712693,4.571570300231564e-09,3.5680140804574867,3.9822430225008465e-09,841.0350265934344,1,10.456300211774126,10.864674905625588,0.7755385601449131,0.2488568150047938,-8.33993459739496,2697727.0327294497,0.934655704844479,0.7248615395663162,0.5,0.9667759331119486,8.879349075067854
238,3.625254510549461,-30.46676122785115,,4.221925013796286,0.7526236074812326,4.465870374797243,8.239052021120143,7.981465901275958,8.582809761850218,0.1537086560693515,0.0464799747868323,1.7627444422857186,-0.7794203214451547,-1.1090382305724402,-0.2587197801627462,0.1051857058259173,0.0624178449725844,0.3266127088789611,1.7050207679865554,7.855500244410206e-09,3.815091718149646,1.4172361601843912e-08,142.08440693038105,1,9.901860972542345,10.239052021120145,1.441035224206681,0.1066654398777595,-8.104826153530515,2193747.043921577,0.923392522775444,1.3306411510884848,0.9,0.9307814472586425,8.270204302966018
