id_msa,ra,dec,z_spec,flag_zspec_qual,flag_emission_lines,log_Mstar,log_Mstar_16,log_Mstar_84,dust2,dust2_16,dust2_84,mwa,met,sfr100,ssfr100,logfagn,UV,VJ,chi2,gamma_t,t_eff,log_Mh,ml_bias,log_Mstar_true,response_z
3231,3.611873799819376,-30.42733955706274,2.565506,3,1,10.209352815828288,9.934200373741279,10.470946050079636,1.4997861433277522,1.2232880162541198,1.8019030896509665,0.4806191710517768,-0.1095792618073772,45.72844384203738,3.188375181678756e-09,-0.6162343094280569,1.3916128247740822,1.5312022518473754,5.858410736904494,1.1556218554920712,2.9374368037249137,12.209352815828288,1.1065499496087312,10.165381793091598,1812724.559771837
3686,3.617202003263485,-30.42553381079773,9.318165,3,1,9.783516105210015,9.665953574895479,9.966722947193634,0.3714641126557011,0.1514743361081299,0.6724914906191954,0.07929439108736819,-1.7248238847448039,55.45496605599109,9.820503088033953e-09,-3.0268666554594756,0.015658561399156667,-0.3892812567676174,20.945638809966137,0.8323099261956239,0.4319731998277357,11.783516105210015,0.879426507433351,9.839316553343503,3083702.4603550844
4286,3.619201005497743,-30.4232703426477,5.836704,3,1,10.27088720228269,10.157086654887816,10.393410417816012,3.276976080911963,3.0754078379165306,3.481380950784005,0.01639262861090473,-0.224643348690581,207.1746765422683,1.119372837691811e-08,-3.162163792114698,1.3648387425197193,2.657950226897622,74.6015546743753,1.3132095492343203,1.264278197904188,12.27088720228269,1.210135001464637,10.188053379800419,2510120.7951809806
4546,3.59923294059471,-30.42250704788694,2.48573,2,0,8.146325506831822,7.8770468567382705,8.339790967900962,0.1777134037676944,0.09403305536037825,0.3266478584821008,0.4929294119855499,-1.0649054846509993,0.47192467255034154,3.7453921991631214e-09,-2.526005205670521,0.29594853650066355,-0.06369664423955612,29.193709990963765,0.70089269727012,1.842124328961222,10.146325506831822,0.7797512407940944,8.25436943232268,1792330.5409438293
4978,3.621933437092616,-30.42110500007863,2.647003,3,1,8.03167215367204,7.926507932189775,8.111258192375752,0.18213690971458574,0.14746730008391065,0.21266355966614992,0.1207394272386991,-1.676477524093825,0.9154522880765091,9.399419168978083e-09,-3.095633837437585,0.43733692925560064,-0.8809307996472207,36.63733084017022,0.6927069311359279,1.702905969957776,10.03167215367204,0.773365284543738,8.14328748046496,1833324.2934080157
6226,3.601032508695363,-30.41830491547581,0.779047,2,0,8.239280348585927,8.142419806211226,8.318967732098002,0.09557705465308994,0.03393118148235086,0.1956121995362342,2.4577474682963794,-1.4211009891197104,0.038879390943606575,2.1742229168363716e-10,-3.2335154401364385,0.8753076053873983,0.22862777251290822,38.055355585055466,0.7776342817035942,5.339793913153381,10.239280348585927,0.8385766755603059,8.315737569955925,1280456.8384760183
6291,3.6056030353963,-30.41812687686951,2.675929,3,1,9.82801386696137,9.78151008595993,9.87030835037185,0.1060807262582314,0.09274868421317535,0.12228278002124732,0.324523503130487,0.16953230423403265,40.21846602602844,6.007394375757157e-09,-1.403028098262642,0.2592069403054964,0.4216861079355496,95.22044129727695,0.9140145580407851,2.220843543859746,11.82801386696137,0.9390034310180683,9.85534668782679,1840580.3884644648
6645,3.627104103364937,-30.41582045629366,3.053197,3,1,8.071945554047037,7.812226474398592,8.25216507781476,0.12685975872116112,0.08485589499024383,0.21445420039512503,0.22299977452224673,-1.3644391056461016,0.7955235744824332,7.123644463575959e-09,-2.1452991372934003,0.35131759057155776,-0.7844503004121144,17.73965898451995,0.679913130291801,1.4292495659471451,10.071945554047037,0.763338908833096,8.189228154287155,1932725.111131948
6948,3.613830543328084,-30.41516712561463,3.404849,3,1,8.765773502840394,8.609416667123662,8.840270877192967,0.28185029058716926,0.1318968361648455,0.4128608766543013,0.14353150466449163,-1.7201138797974243,3.8947789701458304,7.122962445866927e-09,-1.9663855794807645,0.1989512552053938,-0.31448814367439226,32.11568630046907,0.6974113836464096,1.2954091828622014,10.765773502840394,0.7770381153403748,8.875331180466755,2014822.2845700313
7309,3.611317802661625,-30.41455737328158,6.346668,3,0,8.776426188070499,8.627072919083162,8.872974718023935,0.08681992808541125,0.009974929822140736,0.4047869678394013,0.15088793275642773,-1.6336059178287765,4.233472006777476,7.3217108367186985e-09,-2.761830860175223,0.050777267353375066,-0.45541930506115946,43.28600066212637,0.6287279316130708,0.5434014389523816,10.776426188070499,0.722643213033205,8.917502259871528,2602054.8089538775
