id,ra,dec,use_phot,z_spec,z_phot,z_16,z_84,log_Mstar,log_Mstar_16,log_Mstar_84,dust2,dust2_16,dust2_84,mwa,mwa_16,mwa_84,met,met_16,met_84,sfr100,ssfr100,sfr10,logfagn,UV,VJ,chi2,nbands,gamma_t,t_eff,log_Mh,ml_bias,log_Mstar_true,response_z
52084,3.6069646311522,-30.35533969719287,1,,4.0934272293515175,3.997699880850872,4.146015272996167,8.008516525763218,7.7072371217178155,8.235180380407666,0.021194219868986675,0.0064074183399148105,0.052518476013961285,0.1754022516808523,0.09059498297355381,0.27017467617175495,-1.1039397026749234,-1.5863045267775342,-0.8372791864636243,0.6234459921098792,6.595109478696619e-09,0.904509910857444,-2.2523729749883357,0.12833075880456235,-0.595755799559015,57.44148864531847,23,0.6474815515575965,0.9684278139691249,10.008516525763218,0.7376650019519083,8.140657346642268,2166587.7629513093
52096,3.589757761463602,-30.35530035151207,1,,4.112265759526838,4.062350921264872,4.13477024259133,8.201842686886419,8.023786046063853,8.41853611468529,0.08324492947946124,0.04472674031020657,0.1374108003312013,0.21736370418748735,0.11242384006312264,0.3163974158491973,-1.1167495628957778,-1.6443171031746049,-0.9188956822082122,0.9137645649400039,5.843206292130579e-09,0.9845698627366398,-2.0410242011708606,0.30445575894616184,-0.590967331039753,28.816332597748726,24,0.6517830479986845,0.9695006150422859,10.201842686886419,0.7410920298066145,8.331970544284367,2170590.7315705405
52106,3.496560304185183,-30.35634071283832,1,,6.782554807080064,6.722357412512623,6.786272000938,8.359606595099528,8.120678100163397,8.525701808634553,0.03889897644591689,0.010512872307125942,0.08902795158248805,0.10518917684552145,0.056276014156807296,0.16826873366095949,-1.371133785829455,-1.7282040358287158,-0.9794703274176073,1.8681762611347899,8.747730985178662e-09,2.218184935620462,-1.5944127432314517,0.1709811546986515,-0.7163465078580629,9.272929878572707,12,0.5954985740553481,0.47204673736965763,10.359606595099528,0.6956911971871577,8.517190086980099,2678134.14716384
52125,3.5004887429343747,-30.355260936982283,1,,4.872688601096879,4.797088848495579,5.96975461750423,8.248835346901792,7.982351569230831,8.556833992525297,0.04326762353395974,0.01107485547691317,0.1180443136174135,0.16919978033134742,0.07993656757604777,0.2918483245506583,-0.9643291048228448,-1.585340269336704,-0.20992893979967223,1.1017294901973431,6.495831306091853e-09,1.626564506370521,-2.7887474114500854,0.1563928914569921,-0.34159834331788375,6.788046911928069,12,0.6335243291177953,0.765868485660083,10.248835346901792,0.7264978081557341,8.387601038532454,2326428.5535496
52155,3.507712837699061,-30.355178241288844,1,,6.213276869278532,2.332259111096433,11.063905773741707,8.094723159980916,7.631827614979281,8.55517572416032,0.7542734368328257,0.3172297422733282,1.3978912666251397,0.18641124190526043,0.04935403699673357,0.7354708098644331,-0.6615123636580864,-1.3938783138508257,-0.0824545606255438,0.6295224459902955,5.7571994406934296e-09,0.8262865387225892,-2.078152593885269,0.917420451251278,0.6421473927791581,6.501928492241314,14,0.5983037197631076,0.5315145475046164,10.094723159980916,0.6979835575824286,8.250877967924128,2578324.2547684135
52178,3.554699969282035,-30.35515437736917,1,,5.593220251551514,5.316739640614119,5.655867093300383,8.089954921368284,7.921764862556843,8.233084977982244,0.06612462368878816,0.017440757316205233,0.18925263992858746,0.2711019491878802,0.1793915938447041,0.3947603687517064,-1.1388932108348515,-1.600015175032941,-0.6259254224558449,0.3126026164502997,3.165782501838112e-09,0.1385482653045279,-2.4364038065399205,0.3968495350182728,-0.18708921389585242,28.148488163655475,23,0.6118385533125742,0.6219437805311188,10.089954921368284,0.7089992692454827,8.239309133805552,2465017.603148074
52226,3.5230083171307003,-30.35510946415416,1,,4.140866873946869,3.8787239050066296,4.122020362914778,8.436195701597413,8.286593365534394,8.553897930476756,0.21964101659556812,0.09994411124927038,0.34581620337123714,0.31280376222283446,0.20574874108046956,0.38974699378408645,-1.4883033653922073,-1.7840172363155609,-1.1516072403165762,0.9629038531981157,3.756693848095737e-09,0.5805422805492196,-0.4997169839499569,0.35723304149369284,-0.2266402002094594,18.575832664437776,23,0.6592281213975629,0.9724368155651869,10.436195701597413,0.7470075782507485,8.562870693924198,2176654.0632423502
52291,3.557830974119611,-30.354911190720827,1,,19.99654728084549,4.794745644365125,19.024452139699324,8.079624075076172,7.619493964483582,8.526303895015705,0.4416429774916225,0.1435461930905094,1.1334332883296696,0.058606274772973754,0.025584609646841318,0.26186293853868275,-0.6632495043585875,-1.361009324703565,-0.08798965426878136,0.8846180341329615,1.0134851057516474e-08,1.3915681157903623,-2.329269693542186,0.5439246236872748,0.297189366786192,41.43395224431018,26,0.4158231883074942,0.07408130482197853,10.079624075076172,0.5410483697863131,8.346387982257482,4398910.998648098
52326,3.5377749427047127,-30.354823978152343,1,,18.9975462170551,17.197056086337657,19.398601611608253,8.141650472232337,7.74992312562245,8.596051112244556,0.21985192960005873,0.07006490704267247,0.5942745920186135,0.04247329179677962,0.02211151494429221,0.07915917685245256,-0.8716647809830742,-1.526096990844467,-0.2545678554717726,1.3436326693797767,1.0720299887960632e-08,2.3609132815518006,-2.004490484012386,0.2940434528178315,-0.11813111036445889,20.27174395653385,21,0.426718752643344,0.08181847756062627,10.141650472232337,0.5509335372388877,8.400551262040054,4292987.1410986055
52350,3.5008054978920886,-30.35477806686884,1,,6.987362174148625,2.4941274643530247,10.097014530392864,8.182611797692894,7.624649309581063,8.740961925940798,0.9587552793733711,0.4350967133539405,1.6789753984135551,0.17673312850007766,0.047721846459666,0.651131313048067,-0.6489305215983934,-1.3299266418521398,-0.10819333336672185,0.7846146165424076,6.266679500647982e-09,1.0204400905182474,-2.3280767158042925,1.0222454816355295,0.8935698265235246,2.4397508642446493,12,0.5850329073935836,0.44602100731654776,10.182611797692894,0.6871099011691754,8.345585590976821,2713144.4819057044
52357,3.490810654122969,-30.354842417425417,1,,7.380421734236485,7.323280740895325,7.637216324819441,8.523244517219343,8.393929537929626,8.66175169949633,0.08979166734858171,0.048153023667258224,0.15684325758480705,0.057966047819833784,0.025125371871864026,0.1066364365078545,-1.6371391915451696,-1.8572784844042185,-1.4106124656849506,3.1915189638495005,9.936745231448756e-09,8.460566331745795,-2.061134280488375,0.3685999448320558,-1.150158421592817,9.802125078950262,13,0.5918924151635746,0.41985863541972357,10.523244517219343,0.6927394848344524,8.68267457491669,2779099.974860988
