file,srcid,grating,filter,dataset,root,objid,grade,valid,sn_line,z,log_Mstar,line_ha,line_hb,line_ha_nii,snr_oiii_5007,snr_hb,snr_ha,has_balmer,best_line_snr,best_line,resolution_rank,gamma_t_mass_proxy,public_url,local_path,spectrum_fetch_status,log_balmer,fit_status,line,sigma_kms,sigma_kms_err,amplitude_snr,median_R,sigma_inst_kms,resolution_source,line_center_um,reduced_chi2,n_window_points
rubies-egs61-v4_g395m-f290lp_4233_55604.spec.fits,55604,G395M,F290LP,jw04233006001_05101_00002_nrs1_f290lp_g395m_raw.190.4233_55604.fits,rubies-egs61-v4,175782,3.0,1.0,39.9,6.9843473,10.65325588201798,2739.3003,216.51785,,39.93396797651314,15.211645750328975,37.64755978200398,True,39.93396797651314,oiii_5007,1,10.795818392720697,https://s3.amazonaws.com/msaexp-nirspec/extractions/rubies-egs61-v4/rubies-egs61-v4_g395m-f290lp_4233_55604.spec.fits,/Users/matthewsmawfield/www/TEP-JWST/data/raw/dja_specfits/rubies-egs61-v4/rubies-egs61-v4_g395m-f290lp_4233_55604.spec.fits,local_existing,1.1021459391221495,success,oiii_5007,5.000000000000013,250.5169221307463,10.495409186643842,1000.0,127.3101350723384,grating_fallback_G395M,3.9983261335839657,14.049447620379965,14.0
smacs0723-ero-v4_g395m-f290lp_2736_8140.spec.fits,8140,G395M,F290LP,jw02736008001_03103_00001_nrs2_f290lp_g395m_raw.16.2736_8140.fits,smacs0723-ero-v4,173931,3.0,1.0,39.5,5.2759542,10.020608567940558,595.57104,113.137726,,39.47971861281058,2.1895224387984826,33.599762240222454,True,39.47971861281058,oiii_5007,1,2.5608146211693112,https://s3.amazonaws.com/msaexp-nirspec/extractions/smacs0723-ero-v4/smacs0723-ero-v4_g395m-f290lp_2736_8140.spec.fits,/Users/matthewsmawfield/www/TEP-JWST/data/raw/dja_specfits/smacs0723-ero-v4/smacs0723-ero-v4_g395m-f290lp_2736_8140.spec.fits,local_existing,0.7213261263280079,success,oiii_5007,61.28983190345314,12.146654803740995,27.11978137814276,1000.0,127.3101350723384,grating_fallback_G395M,3.1430488416393323,2.0754223852592544,14.0
rubies-uds42-v4_g395m-f290lp_4233_807469.spec.fits,807469,G395M,F290LP,jw04233004002_05101_00002_nrs1_f290lp_g395m_raw.185.4233_807469.fits,rubies-uds42-v4,175935,3.0,1.0,38.9,6.7753844,10.219065022864566,624.4634,153.06418,,38.933343023507895,15.658135742488497,28.821125198367422,True,38.933343023507895,oiii_5007,1,5.267564888172907,https://s3.amazonaws.com/msaexp-nirspec/extractions/rubies-uds42-v4/rubies-uds42-v4_g395m-f290lp_4233_807469.spec.fits,/Users/matthewsmawfield/www/TEP-JWST/data/raw/dja_specfits/rubies-uds42-v4/rubies-uds42-v4_g395m-f290lp_4233_807469.spec.fits,local_existing,0.6106334200981572,success,oiii_5007,5.000000000089673,259.4465848294132,12.3578797104947,1000.0,127.3101350723384,grating_fallback_G395M,3.894078417869275,5.7191120684961785,14.0
rubies-uds43-v4_g395m-f290lp_4233_17604.spec.fits,17604,G395M,F290LP,jw04233004003_05101_00002_nrs1_f290lp_g395m_raw.243.4233_17604.fits,rubies-uds43-v4,167404,3.0,1.0,36.9,5.500154,10.076824567997088,541.2461,149.13933,,36.860160233683295,8.999397000280048,29.192543267301527,True,36.860160233683295,oiii_5007,1,2.896820309729145,https://s3.amazonaws.com/msaexp-nirspec/extractions/rubies-uds43-v4/rubies-uds43-v4_g395m-f290lp_4233_17604.spec.fits,/Users/matthewsmawfield/www/TEP-JWST/data/raw/dja_specfits/rubies-uds43-v4/rubies-uds43-v4_g395m-f290lp_4233_17604.spec.fits,local_existing,0.5598025923070702,success,oiii_5007,89.84615175228619,7.946993974395603,36.284593511052556,1000.0,127.3101350723384,grating_fallback_G395M,3.2553741396017015,0.6090815517925955,14.0
rubies-uds22-v4_g395m-f290lp_4233_139709.spec.fits,139709,G395M,F290LP,jw04233002002_03103_00001_nrs2_f290lp_g395m_raw.100.4233_139709.fits,rubies-uds22-v4,157986,3.0,1.0,35.0,5.683099,10.0727283706626,847.3919,166.21758,,32.740692238781925,9.368315952774477,34.98028305156475,True,34.98028305156475,ha,1,3.0446381132912417,https://s3.amazonaws.com/msaexp-nirspec/extractions/rubies-uds22-v4/rubies-uds22-v4_g395m-f290lp_4233_139709.spec.fits,/Users/matthewsmawfield/www/TEP-JWST/data/raw/dja_specfits/rubies-uds22-v4/rubies-uds22-v4_g395m-f290lp_4233_139709.spec.fits,local_existing,0.7074073533491214,success,ha,116.45654907497492,27.928734478774327,10.36844163414133,1000.0,127.3101350723384,grating_fallback_G395M,4.38708736895755,3.3798629984523894,18.0
rubies-egs63-v4_g395m-f290lp_4233_17146.spec.fits,17146,G395M,F290LP,jw04233006003_05101_00002_nrs1_f290lp_g395m_raw.198.4233_17146.fits,rubies-egs63-v4,157871,3.0,1.0,34.8,5.0012,10.221038831770224,1334.585,470.10062,,29.64995790254277,12.887266013571992,34.817621807085665,True,34.817621807085665,ha,1,2.88227569367751,https://s3.amazonaws.com/msaexp-nirspec/extractions/rubies-egs63-v4/rubies-egs63-v4_g395m-f290lp_4233_17146.spec.fits,/Users/matthewsmawfield/www/TEP-JWST/data/raw/dja_specfits/rubies-egs63-v4/rubies-egs63-v4_g395m-f290lp_4233_17146.spec.fits,local_existing,0.4531554153464062,success,ha,5.000000000000044,335.44403753647674,10.356455315695678,1000.0,127.3101350723384,grating_fallback_G395M,3.939606259178339,4.40135961739685,17.0
rubies-egs52-v4_g395m-f290lp_4233_37124.spec.fits,37124,G395M,F290LP,jw04233005002_05101_00002_nrs2_f290lp_g395m_raw.88.4233_37124.fits,rubies-egs52-v4,154078,3.0,1.0,33.9,5.681373,10.394201964756553,405.92294,0.0,,,,33.9128496537601,False,33.9128496537601,ha,1,4.376117816209266,https://s3.amazonaws.com/msaexp-nirspec/extractions/rubies-egs52-v4/rubies-egs52-v4_g395m-f290lp_4233_37124.spec.fits,/Users/matthewsmawfield/www/TEP-JWST/data/raw/dja_specfits/rubies-egs52-v4/rubies-egs52-v4_g395m-f290lp_4233_37124.spec.fits,local_existing,,success,ha,269.15511653898653,34.96980321077972,12.970954196266314,1000.0,127.3101350723384,grating_fallback_G395M,4.386521121199024,2.2938840782010357,18.0
rubies-uds31-v4_g395m-f290lp_4233_149298.spec.fits,149298,G395M,F290LP,jw04233003001_05101_00002_nrs1_f290lp_g395m_raw.151.4233_149298.fits,rubies-uds31-v4,175694,3.0,1.0,33.9,5.1471887,10.616769292250265,774.0616,225.84927,,30.669103281417804,10.475209641695187,33.874120830838926,True,33.874120830838926,ha,1,4.4802826693939455,https://s3.amazonaws.com/msaexp-nirspec/extractions/rubies-uds31-v4/rubies-uds31-v4_g395m-f290lp_4233_149298.spec.fits,/Users/matthewsmawfield/www/TEP-JWST/data/raw/dja_specfits/rubies-uds31-v4/rubies-uds31-v4_g395m-f290lp_4233_149298.spec.fits,local_existing,0.5349568321589805,success,ha,5.000000000001065,333.1291026755318,10.226703913773465,1000.0,127.3101350723384,grating_fallback_G395M,4.035561263626451,3.2733764121086057,17.0
gto-wide-uds11-v4_g395h-f290lp_1215_4994.spec.fits,4994,G395H,F290LP,jw01215011001_07101_00001_nrs1_f290lp_g395h_raw.196.1215_4994.fits,gto-wide-uds11-v4,172809,3.0,1.0,33.5,5.508411,10.249879777760523,,195.44943,,33.50370622283766,8.253799260851011,,False,33.50370622283766,oiii_5007,2,3.5045915304511284,https://s3.amazonaws.com/msaexp-nirspec/extractions/gto-wide-uds11-v4/gto-wide-uds11-v4_g395h-f290lp_1215_4994.spec.fits,/Users/matthewsmawfield/www/TEP-JWST/data/raw/dja_specfits/gto-wide-uds11-v4/gto-wide-uds11-v4_g395h-f290lp_1215_4994.spec.fits,local_existing,,success,oiii_5007,40.60216653057272,4.649391517823643,20.82897008193721,2700.0,47.151901878643855,grating_fallback_G395H,3.2594543525950708,1.2566849955145412,38.0
jades-gds02-v4_g395h-f290lp_1286_187564.spec.fits,187564,G395H,F290LP,jw01286002001_21101_00001_nrs2_f290lp_g395h_raw.546.1286_187564.fits,jades-gds02-v4,174362,3.0,1.0,31.7,5.3199286,10.238209387190162,381.01627,102.883965,,27.25342727871526,7.438651923549107,31.724683305843946,True,31.724683305843946,ha,2,3.2500614198138553,https://s3.amazonaws.com/msaexp-nirspec/extractions/jades-gds02-v4/jades-gds02-v4_g395h-f290lp_1286_187564.spec.fits,/Users/matthewsmawfield/www/TEP-JWST/data/raw/dja_specfits/jades-gds02-v4/jades-gds02-v4_g395h-f290lp_1286_187564.spec.fits,local_existing,0.5685958281486531,success,ha,71.87248541596256,7.129194834360598,15.604312722849828,2700.0,47.151901878643855,grating_fallback_G395H,4.148877439120699,1.7547635321241988,47.0
