id,ra,dec,use_phot,z_spec,z_phot,z_16,z_84,log_Mstar,log_Mstar_16,log_Mstar_84,dust2,dust2_16,dust2_84,mwa,mwa_16,mwa_84,met,met_16,met_84,sfr100,ssfr100,sfr10,logfagn,UV,VJ,chi2,nbands,gamma_t,t_eff,log_Mh,ml_bias,log_Mstar_true,alpha_z,sigma_dust2,posterior_broad
773,3.585811276481777,-30.464522244280925,1,,9.352817048707502,0.937702939561658,13.06367444076327,8.29859048329878,7.428981241815109,9.146544170885102,0.6276488158947715,0.1820950590285387,1.3273388901746082,0.2450994735854945,0.0502859649643097,1.7769562077956846,-0.6959549312458697,-1.4064425783842422,-0.086676187496598,0.942501328096967,4.847988675360187e-09,1.141151503150102,-2.2492554193042893,0.8259092242245387,0.5681782399568611,16.132812233411983,4,0.9135199397370808,0.4717387866858291,10.29859048329878,2967053463.8175783,-2967053455.5189877,3088876.202130612,0.5726219155730348,True
1012,3.635472389046237,-30.463663263960974,1,,9.552764899400394,1.559704151516872,14.031109522595951,8.512441900470566,7.860091781262143,9.255201235989292,0.5402054463286736,0.1786266720339593,1.2353388348680807,0.1568479216112959,0.0417962908846367,0.927587926087056,-0.6744085323138452,-1.4238548370099855,-0.1501743666217108,1.7889983664636502,6.501018659481342e-09,2.279050702174006,-2.013294421511538,0.6831297189538397,0.4586612129767573,8.776476901325555,4,0.9299790375917092,0.4666285349118599,10.512441900470566,5755649906.343508,-5755649897.831066,3118561.869081228,0.5283560814170607,True
1107,3.652839758317364,-30.463233734882294,1,,9.40198628218432,0.817304375350992,10.338978726663044,8.046111070145264,7.181862601016019,8.556587235619729,0.1885765299102601,0.0390453944683558,0.9991686362809256,0.2036784595103564,0.0634483040909988,2.1778175275912344,-0.962391897338078,-1.4885453973705958,-0.2843478579482558,0.7748273397987924,5.288606080924804e-09,0.7547031500363196,-2.2872438533643553,0.4221943256533436,0.0487950143342388,19.22057072077855,7,0.8993907977780875,0.4611472070499463,10.046111070145264,2634942968.919457,-2634942960.873346,3096202.6028122045,0.4800616209062849,False
1357,3.5845803470457698,-30.46223885082834,1,,9.317740098849102,1.246832569871266,14.349953038875768,8.447455025457431,7.568728685130804,9.276617633296688,0.6540704728646687,0.2051769022140811,1.4320666021054589,0.1686113959234426,0.0409380461711693,1.299436985166689,-0.7151595131576642,-1.4120878665859722,-0.1497148158092582,1.7910416300014067,5.729370698603829e-09,2.2344065391256716,-1.9520256205243152,0.8396578378048112,0.5632022894512296,13.30646614935415,4,0.9249064546687482,0.4800609898582283,10.447455025457431,3125180404.6125493,-3125180396.1650944,3083638.9663998173,0.6134448499456889,True
1369,3.5842195171791693,-30.46220555740984,1,,11.937994585916003,1.6122191391183651,14.126154162544768,8.339443178355882,7.6190258412075,9.216810125625956,0.6990635505273736,0.1945229992693476,1.5257535328474363,0.1683032065835267,0.0393520904331413,1.0245255536344136,-0.7233033218024643,-1.4114977062785794,-0.1573412996173291,1.2744260142913335,6.086777267552208e-09,1.8317485219820184,-2.06728670012112,0.9239765758792372,0.6726223175527437,14.245950036173854,4,0.9069563984034432,0.3349783224972537,10.339443178355882,1291402117402.8235,-1291402117394.4844,3453064.698261559,0.6656152667890444,True
1796,3.6315768634705945,-30.460639008806865,1,,9.63968002591906,0.4047266168224185,10.001639744544027,8.164506829675588,6.1243958431605225,8.86269419766283,0.4484612168717343,0.1135066142515292,1.1757238918002473,0.1572276545724409,0.0662554951747217,1.8346628288660896,-0.7630811617067015,-1.461890048203819,-0.1949633177513246,1.3512262825492445,6.687953253897685e-09,1.654992790127732,-2.6324212187722984,0.6768136155793734,0.3788762701403314,16.888111808987365,7,0.9042074199361309,0.4481384430693487,10.164506829675588,5104930175.690995,-5104930167.526488,3131378.1489764224,0.531108638774359,True
2734,3.609307661776139,-30.457808532595788,1,,9.84039069314904,1.5332234547579613,10.825761978144742,8.059960535060274,7.593354396470661,8.459322557720526,0.4813715352107536,0.1728562455654505,1.0865622436043558,0.4416588791447612,0.0617117622610342,1.3068396582002946,-0.8784797164587385,-1.4287891543616993,-0.1847883288290254,0.2109627546044281,4.0865676983046495e-09,0.212934396611506,-2.0414592233650413,0.7608603696610778,0.4239351441308976,50.817377521478306,8,0.8980434838799501,0.4327551219027829,10.059960535060274,7344108309.974581,-7344108301.91462,3160775.8640571395,0.45685299901945264,False
2763,3.581609388994334,-30.45679983182112,1,,9.004158196859075,1.080841096203698,13.997249582921675,8.070551836136406,7.099097635968344,8.953749069048714,0.6309892792590817,0.169032273413302,1.4849853127673407,0.199712489184671,0.0442976472032189,1.4514358676866888,-0.7455414373203824,-1.464039048235226,-0.1107390288678907,0.5967977328506088,5.433127137287971e-09,0.7346190825496302,-2.161852571999776,0.8212466562131944,0.5771764263881103,6.825263684747826,2,0.9023321250166642,0.4905767662841756,10.070551836136406,1075598817.6619186,-1075598809.5913668,3036417.658067698,0.6579765196770193,True
3665,3.633047968025009,-30.453523291749775,1,,11.298417620811836,0.3848965033257797,10.039506174935235,8.032921268694777,6.971892196872256,8.409468410788053,0.2968679386738598,0.0390332384716687,1.1103538024090664,0.6595078076415357,0.057666475199876,3.34959741653037,-0.8893043338936237,-1.5415207445849883,-0.1758591348515202,0.2290949027865223,1.944792703109031e-09,0.2378310981412217,-2.685338012084173,0.6421795946491606,0.1877557801805771,18.197036152526977,6,0.8904689896235513,0.3549481996702173,10.032921268694777,206321758096.39368,-206321758088.36075,3366633.5825777343,0.5356602819686989,True
4144,3.634366637249942,-30.4517260588096,1,,9.750584582708566,1.1436464015219008,8.76996727734504,8.191961519511029,7.589280792967102,8.600978700079294,0.5522753291259275,0.156429253656681,1.198659544730084,0.258946794679391,0.064013450319165,1.4732446138436723,-0.8417779539183521,-1.5404698416678246,-0.1311357007680744,0.7828916644778894,5.576337110951938e-09,1.0459449475356923,-2.4014874317914714,0.7245558041465721,0.4199145361419845,15.886701765307365,6,0.9052757860582936,0.4417292597186073,10.191961519511027,6778018019.460333,-6778018011.268372,3147656.0726077133,0.5211151455367016,True
4155,3.634719468761686,-30.451693251641217,1,,9.955651033195997,0.9782449173295455,11.995441491338536,8.287348645739776,7.643953374302917,8.876514763241198,0.4762469908565658,0.1052133128404182,1.1121353252982156,0.3708496520411463,0.0524692372913229,1.656250507890812,-0.7673086920572493,-1.4935154774949932,-0.1971708635094847,0.5438399726848591,4.060585987559846e-09,0.6153218703653381,-2.275171985253611,0.7108183359205889,0.3633234392703173,7.333607712593362,5,0.91038623752946,0.4317836751019228,10.287348645739776,11971263051.758434,-11971263043.471088,3177534.8923644302,0.5034610062288987,True
4383,3.6313693246706977,-30.45080774317808,1,,9.974648722049944,2.322586485471776,10.276305091620744,8.036219244029402,7.8138805167691,8.221917483353565,0.0211680915242452,0.0044351555365576,0.1060503996919923,0.0468448122233632,0.0227038184418212,0.152339298632231,-1.4224330038808946,-1.7836220649100727,-0.7064966419091325,1.1249854464960858,1.0384743226261869e-08,2.961457176881785,-1.8218281609000813,-0.0163333671701124,-0.5776869045120563,15.485153983682851,6,0.8963538225001083,0.4240225551661998,10.036219244029402,9779357377.49988,-9779357369.46366,3180288.7073725285,0.05080762207771735,False
4400,3.632916408733625,-30.450745637426984,1,,9.65000088407779,9.69665771372958,11.181048892837952,8.264219129068076,8.053552537603908,8.504192747099552,0.0677428523530193,0.0188466827523204,0.2020750634682937,0.0576399062684572,0.0289402492761614,0.1101718352860318,-1.163777003891173,-1.6670340283768654,-0.3976347672223684,1.70730242608663,9.729142000190871e-09,3.5352903172778913,-2.6116647302180516,0.0652442348948731,-0.4276734584864137,15.864823113428155,6,0.9100758778803724,0.4503901294936092,10.264219129068076,5745078606.236977,-5745078597.972757,3132896.553473493,0.09161419035798665,False
4401,3.632871332764823,-30.45099042414998,1,,11.508279889372323,2.8875208225658997,11.343207350275922,8.204386237265881,7.6910558871570975,8.46883674406606,0.0406286658337065,0.0091244759671019,0.2807627849492142,0.0827277559722517,0.0409815647301628,0.3370047228569789,-1.1872492599612268,-1.6721729797922258,-0.3114825537624891,1.4770028590693964,8.923162685486998e-09,2.6255438409961576,-2.083979655370244,0.1271381852184774,-0.4249884170243341,20.10653789100669,6,0.8989882336204637,0.3493402395130537,10.20438623726588,406819591927.4127,-406819591919.2083,3395236.4786632364,0.13581915449105614,False
